Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,21/06/22,10:57:19,     1,  6263,   419, 1030.9, 296, 0.0, 0.0, 0.0, 61, 0.0000,   472, 0.0,23.8, 0.0
M3,21/06/22,10:57:20,     1,  6264,   419, 1030.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   471, 0.0,23.8, 0.0
M3,21/06/22,10:57:21,     1,  6265,   419, 1030.8, 304, 0.0, 0.0, 0.0,  0, 0.0000,   472, 0.0,23.8, 0.0
M3,21/06/22,10:57:22,     1,  6266,   418, 1030.8, 301, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,23.8, 0.0
M3,21/06/22,10:57:23,     1,  6267,   418, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,23.8, 0.0
M3,21/06/22,10:57:24,     1,  6268,   418, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   477, 0.0,23.8, 0.0
M3,21/06/22,10:57:25,     1,  6269,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   477, 0.0,23.8, 0.0
M3,21/06/22,10:57:26,     1,  6270,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,23.8, 0.0
M3,21/06/22,10:57:27,     1,  6271,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   477, 0.0,23.8, 0.0
M3,21/06/22,10:57:28,     1,  6272,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   480, 0.0,23.8, 0.0
M3,21/06/22,10:57:29,     1,  6273,   418, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   479, 0.0,23.8, 0.0
M3,21/06/22,10:57:30,     1,  6274,   418, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   479, 0.0,23.8, 0.0
M3,21/06/22,10:57:31,     1,  6275,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:32,     1,  6276,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:33,     1,  6277,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   479, 0.0,23.8, 0.0
M3,21/06/22,10:57:34,     1,  6278,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:35,     1,  6279,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:36,     1,  6280,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.8, 0.0
M3,21/06/22,10:57:37,     1,  6281,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:38,     1,  6282,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:39,     1,  6283,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:40,     1,  6284,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.8, 0.0
M3,21/06/22,10:57:41,     1,  6285,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.8, 0.0
M3,21/06/22,10:57:42,     1,  6286,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.8, 0.0
M3,21/06/22,10:57:43,     1,  6287,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.8, 0.0
M3,21/06/22,10:57:44,     1,  6288,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,23.8, 0.0
M3,21/06/22,10:57:45,     1,  6289,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,23.8, 0.0
M3,21/06/22,10:57:46,     1,  6290,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   480, 0.0,23.8, 0.0
M3,21/06/22,10:57:47,     1,  6291,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   471, 0.0,23.8, 0.0
M3,21/06/22,10:57:48,     1,  6292,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,23.8, 0.0
M3,21/06/22,10:57:49,     1,  6293,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.8, 0.0
M3,21/06/22,10:57:50,     1,  6294,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   488, 0.0,23.8, 0.0
M3,21/06/22,10:57:51,     1,  6295,   417, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   488, 0.0,23.8, 0.0
M3,21/06/22,10:57:52,     1,  6296,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   487, 0.0,23.8, 0.0
M3,21/06/22,10:57:53,     1,  6297,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   487, 0.0,23.8, 0.0
M3,21/06/22,10:57:54,     1,  6298,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   488, 0.0,23.8, 0.0
M3,21/06/22,10:57:55,     1,  6299,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   487, 0.0,23.8, 0.0
M3,21/06/22,10:57:56,     1,  6300,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   485, 0.0,23.8, 0.0
M3,21/06/22,10:57:57,     1,  6301,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.8, 0.0
M3,21/06/22,10:57:58,     1,  6302,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:57:59,     1,  6303,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   479, 0.0,23.8, 0.0
M3,21/06/22,10:58:00,     1,  6304,   416, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   478, 0.0,23.8, 0.0
M3,21/06/22,10:58:01,     1,  6305,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.8, 0.0
M3,21/06/22,10:58:02,     1,  6306,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.8, 0.0
M3,21/06/22,10:58:03,     1,  6307,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.8, 0.0
M3,21/06/22,10:58:04,     1,  6308,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.8, 0.0
M3,21/06/22,10:58:05,     1,  6309,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   477, 0.0,23.8, 0.0
M3,21/06/22,10:58:06,     1,  6310,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   479, 0.0,23.8, 0.0
M3,21/06/22,10:58:07,     1,  6311,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   478, 0.0,23.7, 0.0
M3,21/06/22,10:58:08,     1,  6312,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,23.7, 0.0
M3,21/06/22,10:58:09,     1,  6313,   415, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,23.7, 0.0
M3,21/06/22,10:58:10,     1,  6314,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   474, 0.0,23.7, 0.0
M3,21/06/22,10:58:11,     1,  6315,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   474, 0.0,23.7, 0.0
M3,21/06/22,10:58:12,     1,  6316,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   473, 0.0,23.8, 0.0
M3,21/06/22,10:58:13,     1,  6317,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   471, 0.0,23.8, 0.0
M3,21/06/22,10:58:14,     1,  6318,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   466, 0.0,23.8, 0.0
M3,21/06/22,10:58:15,     1,  6319,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   459, 0.0,23.7, 0.0
M3,21/06/22,10:58:16,     1,  6320,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   456, 0.0,23.7, 0.0
M3,21/06/22,10:58:17,     1,  6321,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   467, 0.0,23.8, 0.0
M3,21/06/22,10:58:18,     1,  6322,   413, 1030.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   468, 0.0,23.8, 0.0
M3,21/06/22,10:58:19,     1,  6323,   414, 1030.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   469, 0.0,23.8, 0.0
M3,21/06/22,10:58:20,     1,  6324,   414, 1030.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   468, 0.0,23.8, 0.0
M3,21/06/22,10:58:21,     1,  6325,   414, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   464, 0.0,23.8, 0.0
M3,21/06/22,10:58:22,     1,  6326,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   463, 0.0,23.8, 0.0
M3,21/06/22,10:58:23,     1,  6327,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   466, 0.0,23.8, 0.0
M3,21/06/22,10:58:24,     1,  6328,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   461, 0.0,23.7, 0.0
M3,21/06/22,10:58:25,     1,  6329,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   467, 0.0,23.8, 0.0
M3,21/06/22,10:58:26,     1,  6330,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   468, 0.0,23.8, 0.0
M3,21/06/22,10:58:27,     1,  6331,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   465, 0.0,23.8, 0.0
M3,21/06/22,10:58:28,     1,  6332,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   464, 0.0,23.8, 0.0
M3,21/06/22,10:58:29,     1,  6333,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   463, 0.0,23.7, 0.0
M3,21/06/22,10:58:30,     1,  6334,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   465, 0.0,23.7, 0.0
M3,21/06/22,10:58:31,     1,  6335,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   465, 0.0,23.7, 0.0
M3,21/06/22,10:58:32,     1,  6336,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   456, 0.0,23.7, 0.0
M3,21/06/22,10:58:33,     1,  6337,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   463, 0.0,23.7, 0.0
M3,21/06/22,10:58:34,     1,  6338,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   458, 0.0,23.7, 0.0
M3,21/06/22,10:58:35,     1,  6339,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   455, 0.0,23.7, 0.0
M3,21/06/22,10:58:36,     1,  6340,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   463, 0.0,23.7, 0.0
M3,21/06/22,10:58:37,     1,  6341,   413, 1030.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   463, 0.0,23.7, 0.0
