Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,21/06/22,11:01:44,     1,  6527,   419, 1030.7, 300, 0.0, 0.0, 0.0, 61, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:45,     1,  6528,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:46,     1,  6529,   419, 1030.7, 301, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:47,     1,  6530,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:48,     1,  6531,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:49,     1,  6532,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:50,     1,  6533,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:51,     1,  6534,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:52,     1,  6535,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:53,     1,  6536,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:54,     1,  6537,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:56,     1,  6538,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:57,     1,  6539,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:58,     1,  6540,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:01:59,     1,  6541,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:02:00,     1,  6542,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:02:01,     1,  6543,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:02:02,     1,  6544,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.4, 0.0
M3,21/06/22,11:02:03,     1,  6545,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:04,     1,  6546,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:05,     1,  6547,   420, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:06,     1,  6548,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:07,     1,  6549,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:08,     1,  6550,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:09,     1,  6551,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:10,     1,  6552,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:11,     1,  6553,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:12,     1,  6554,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
M3,21/06/22,11:02:13,     1,  6555,   419, 1030.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,23.3, 0.0
