Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,21/06/22,11:32:34,     1,  8364,   420, 1030.8, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1699, 0.0,24.9, 0.0
M3,21/06/22,11:32:35,     1,  8365,   419, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1699, 0.0,24.9, 0.0
M3,21/06/22,11:32:36,     1,  8366,   419, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1699, 0.0,24.9, 0.0
M3,21/06/22,11:32:37,     1,  8367,   419, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,24.9, 0.0
M3,21/06/22,11:32:38,     1,  8368,   418, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1696, 0.0,25.0, 0.0
M3,21/06/22,11:32:39,     1,  8369,   418, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1696, 0.0,25.0, 0.0
M3,21/06/22,11:32:40,     1,  8370,   418, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.0, 0.0
M3,21/06/22,11:32:41,     1,  8371,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.0, 0.0
M3,21/06/22,11:32:42,     1,  8372,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.0, 0.0
M3,21/06/22,11:32:43,     1,  8373,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.0, 0.0
M3,21/06/22,11:32:44,     1,  8374,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1696, 0.0,25.0, 0.0
M3,21/06/22,11:32:45,     1,  8375,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.1, 0.0
M3,21/06/22,11:32:46,     1,  8376,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1696, 0.0,25.1, 0.0
M3,21/06/22,11:32:47,     1,  8377,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.1, 0.0
M3,21/06/22,11:32:48,     1,  8378,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.1, 0.0
M3,21/06/22,11:32:49,     1,  8379,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1696, 0.0,25.1, 0.0
M3,21/06/22,11:32:50,     1,  8380,   417, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.1, 0.0
M3,21/06/22,11:32:51,     1,  8381,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.1, 0.0
M3,21/06/22,11:32:52,     1,  8382,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1696, 0.0,25.1, 0.0
M3,21/06/22,11:32:53,     1,  8383,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.1, 0.0
M3,21/06/22,11:32:54,     1,  8384,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1698, 0.0,25.1, 0.0
M3,21/06/22,11:32:55,     1,  8385,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1698, 0.0,25.2, 0.0
M3,21/06/22,11:32:56,     1,  8386,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1699, 0.0,25.2, 0.0
M3,21/06/22,11:32:57,     1,  8387,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1699, 0.0,25.2, 0.0
M3,21/06/22,11:32:58,     1,  8388,   416, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1699, 0.0,25.2, 0.0
M3,21/06/22,11:32:59,     1,  8389,   415, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1699, 0.0,25.2, 0.0
M3,21/06/22,11:33:00,     1,  8390,   415, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1702, 0.0,25.2, 0.0
M3,21/06/22,11:33:01,     1,  8391,   415, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1703, 0.0,25.2, 0.0
M3,21/06/22,11:33:02,     1,  8392,   415, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1706, 0.0,25.2, 0.0
M3,21/06/22,11:33:03,     1,  8393,   415, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1710, 0.0,25.2, 0.0
M3,21/06/22,11:33:04,     1,  8394,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1712, 0.0,25.2, 0.0
M3,21/06/22,11:33:05,     1,  8395,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1713, 0.0,25.2, 0.0
M3,21/06/22,11:33:06,     1,  8396,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1714, 0.0,25.2, 0.0
M3,21/06/22,11:33:08,     1,  8397,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1716, 0.0,25.2, 0.0
M3,21/06/22,11:33:09,     1,  8398,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1715, 0.0,25.2, 0.0
M3,21/06/22,11:33:10,     1,  8399,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1716, 0.0,25.2, 0.0
M3,21/06/22,11:33:11,     1,  8400,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1713, 0.0,25.3, 0.0
M3,21/06/22,11:33:12,     1,  8401,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1714, 0.0,25.3, 0.0
M3,21/06/22,11:33:13,     1,  8402,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1712, 0.0,25.3, 0.0
M3,21/06/22,11:33:14,     1,  8403,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1710, 0.0,25.3, 0.0
M3,21/06/22,11:33:15,     1,  8404,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1707, 0.0,25.3, 0.0
M3,21/06/22,11:33:16,     1,  8405,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1706, 0.0,25.3, 0.0
M3,21/06/22,11:33:17,     1,  8406,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1703, 0.0,25.3, 0.0
M3,21/06/22,11:33:18,     1,  8407,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1697, 0.0,25.3, 0.0
M3,21/06/22,11:33:19,     1,  8408,   414, 1030.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1695, 0.0,25.3, 0.0
