Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,21/06/22,13:53:39,     1, 16770,   414, 1029.8, 300, 0.0, 0.0, 0.0, 61, 0.0000,   415, 0.0,24.2, 0.0
M3,21/06/22,13:53:40,     1, 16771,   414, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   414, 0.0,24.2, 0.0
M3,21/06/22,13:53:41,     1, 16772,   414, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   414, 0.0,24.2, 0.0
M3,21/06/22,13:53:42,     1, 16773,   414, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   416, 0.0,24.2, 0.0
M3,21/06/22,13:53:43,     1, 16774,   414, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   422, 0.0,24.2, 0.0
M3,21/06/22,13:53:44,     1, 16775,   414, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   421, 0.0,24.2, 0.0
M3,21/06/22,13:53:45,     1, 16776,   414, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   422, 0.0,24.2, 0.0
M3,21/06/22,13:53:46,     1, 16777,   414, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   422, 0.0,24.2, 0.0
M3,21/06/22,13:53:47,     1, 16778,   414, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   423, 0.0,24.2, 0.0
M3,21/06/22,13:53:48,     1, 16779,   414, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   423, 0.0,24.2, 0.0
M3,21/06/22,13:53:49,     1, 16780,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   423, 0.0,24.2, 0.0
M3,21/06/22,13:53:50,     1, 16781,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   424, 0.0,24.2, 0.0
M3,21/06/22,13:53:51,     1, 16782,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   426, 0.0,24.2, 0.0
M3,21/06/22,13:53:52,     1, 16783,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   425, 0.0,24.2, 0.0
M3,21/06/22,13:53:53,     1, 16784,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   425, 0.0,24.2, 0.0
M3,21/06/22,13:53:54,     1, 16785,   413, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   426, 0.0,24.2, 0.0
M3,21/06/22,13:53:55,     1, 16786,   413, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   425, 0.0,24.3, 0.0
M3,21/06/22,13:53:56,     1, 16787,   413, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   424, 0.0,24.3, 0.0
M3,21/06/22,13:53:57,     1, 16788,   413, 1029.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   424, 0.0,24.3, 0.0
M3,21/06/22,13:53:58,     1, 16789,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   425, 0.0,24.3, 0.0
M3,21/06/22,13:53:59,     1, 16790,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   424, 0.0,24.3, 0.0
M3,21/06/22,13:54:00,     1, 16791,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   423, 0.0,24.3, 0.0
M3,21/06/22,13:54:01,     1, 16792,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   425, 0.0,24.3, 0.0
M3,21/06/22,13:54:02,     1, 16793,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   421, 0.0,24.3, 0.0
M3,21/06/22,13:54:03,     1, 16794,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   423, 0.0,24.3, 0.0
M3,21/06/22,13:54:04,     1, 16795,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   424, 0.0,24.3, 0.0
M3,21/06/22,13:54:05,     1, 16796,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   422, 0.0,24.3, 0.0
M3,21/06/22,13:54:06,     1, 16797,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   418, 0.0,24.3, 0.0
M3,21/06/22,13:54:07,     1, 16798,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   420, 0.0,24.3, 0.0
M3,21/06/22,13:54:08,     1, 16799,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   421, 0.0,24.3, 0.0
M3,21/06/22,13:54:10,     1, 16800,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   421, 0.0,24.3, 0.0
M3,21/06/22,13:54:11,     1, 16801,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   418, 0.0,24.3, 0.0
M3,21/06/22,13:54:12,     1, 16802,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   413, 0.0,24.3, 0.0
M3,21/06/22,13:54:13,     1, 16803,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   409, 0.0,24.3, 0.0
M3,21/06/22,13:54:14,     1, 16804,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   411, 0.0,24.3, 0.0
M3,21/06/22,13:54:15,     1, 16805,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   411, 0.0,24.3, 0.0
M3,21/06/22,13:54:16,     1, 16806,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   410, 0.0,24.3, 0.0
M3,21/06/22,13:54:17,     1, 16807,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   410, 0.0,24.3, 0.0
M3,21/06/22,13:54:18,     1, 16808,   412, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   409, 0.0,24.3, 0.0
M3,21/06/22,13:54:19,     1, 16809,   413, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   409, 0.0,24.3, 0.0
M3,21/06/22,13:54:20,     1, 16810,   412, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   409, 0.0,24.3, 0.0
M3,21/06/22,13:54:21,     1, 16811,   412, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   409, 0.0,24.3, 0.0
M3,21/06/22,13:54:22,     1, 16812,   412, 1029.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   407, 0.0,24.3, 0.0
