Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,29/06/22,11:27:32,     1,  7627,   420, 1026.2, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1554, 0.0,23.7, 0.0
M3,29/06/22,11:27:33,     1,  7628,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1554, 0.0,23.7, 0.0
M3,29/06/22,11:27:34,     1,  7629,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1554, 0.0,23.7, 0.0
M3,29/06/22,11:27:35,     1,  7630,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1554, 0.0,23.8, 0.0
M3,29/06/22,11:27:36,     1,  7631,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1555, 0.0,23.8, 0.0
M3,29/06/22,11:27:37,     1,  7632,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1555, 0.0,23.8, 0.0
M3,29/06/22,11:27:38,     1,  7633,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1554, 0.0,23.9, 0.0
M3,29/06/22,11:27:39,     1,  7634,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1553, 0.0,23.9, 0.0
M3,29/06/22,11:27:40,     1,  7635,   418, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,23.9, 0.0
M3,29/06/22,11:27:41,     1,  7636,   418, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,23.9, 0.0
M3,29/06/22,11:27:42,     1,  7637,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.0, 0.0
M3,29/06/22,11:27:43,     1,  7638,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,24.0, 0.0
M3,29/06/22,11:27:44,     1,  7639,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.0, 0.0
M3,29/06/22,11:27:45,     1,  7640,   418, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.0, 0.0
M3,29/06/22,11:27:46,     1,  7641,   418, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.0, 0.0
M3,29/06/22,11:27:47,     1,  7642,   418, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.1, 0.0
M3,29/06/22,11:27:48,     1,  7643,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.1, 0.0
M3,29/06/22,11:27:49,     1,  7644,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.1, 0.0
M3,29/06/22,11:27:50,     1,  7645,   419, 1026.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.1, 0.0
M3,29/06/22,11:27:51,     1,  7646,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.1, 0.0
M3,29/06/22,11:27:52,     1,  7647,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,24.1, 0.0
M3,29/06/22,11:27:53,     1,  7648,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.1, 0.0
M3,29/06/22,11:27:54,     1,  7649,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.2, 0.0
M3,29/06/22,11:27:55,     1,  7650,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.2, 0.0
M3,29/06/22,11:27:56,     1,  7651,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.2, 0.0
M3,29/06/22,11:27:57,     1,  7652,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.2, 0.0
M3,29/06/22,11:27:58,     1,  7653,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.2, 0.0
M3,29/06/22,11:27:59,     1,  7654,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.2, 0.0
M3,29/06/22,11:28:00,     1,  7655,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.3, 0.0
M3,29/06/22,11:28:01,     1,  7656,   419, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.3, 0.0
M3,29/06/22,11:28:02,     1,  7657,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.3, 0.0
M3,29/06/22,11:28:03,     1,  7658,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.3, 0.0
M3,29/06/22,11:28:04,     1,  7659,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.3, 0.0
M3,29/06/22,11:28:05,     1,  7660,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1559, 0.0,24.3, 0.0
M3,29/06/22,11:28:06,     1,  7661,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.3, 0.0
M3,29/06/22,11:28:07,     1,  7662,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.4, 0.0
M3,29/06/22,11:28:08,     1,  7663,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.4, 0.0
M3,29/06/22,11:28:09,     1,  7664,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.4, 0.0
M3,29/06/22,11:28:10,     1,  7665,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.4, 0.0
M3,29/06/22,11:28:11,     1,  7666,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,24.4, 0.0
M3,29/06/22,11:28:12,     1,  7667,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.4, 0.0
M3,29/06/22,11:28:13,     1,  7668,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,24.4, 0.0
M3,29/06/22,11:28:14,     1,  7669,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,24.4, 0.0
M3,29/06/22,11:28:15,     1,  7670,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,24.5, 0.0
M3,29/06/22,11:28:16,     1,  7671,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.5, 0.0
M3,29/06/22,11:28:17,     1,  7672,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.5, 0.0
M3,29/06/22,11:28:18,     1,  7673,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.5, 0.0
M3,29/06/22,11:28:19,     1,  7674,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.5, 0.0
M3,29/06/22,11:28:20,     1,  7675,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.5, 0.0
M3,29/06/22,11:28:21,     1,  7676,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.5, 0.0
M3,29/06/22,11:28:22,     1,  7677,   418, 1026.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,24.5, 0.0
