Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,29/06/22,11:41:29,     1,  8459,   418, 1026.0, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1515, 0.0,25.7, 0.0
Zero
M3,29/06/22,11:41:56,     1,  8486,   408, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1607, 0.0,26.0, 0.0
M3,29/06/22,11:41:58,     1,  8487,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1606, 0.0,26.0, 0.0
M3,29/06/22,11:41:59,     1,  8488,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1605, 0.0,26.0, 0.0
M3,29/06/22,11:42:00,     1,  8489,   411, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1605, 0.0,26.0, 0.0
M3,29/06/22,11:42:01,     1,  8490,   411, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1605, 0.0,26.0, 0.0
M3,29/06/22,11:42:02,     1,  8491,   411, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1605, 0.0,26.0, 0.0
M3,29/06/22,11:42:03,     1,  8492,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1607, 0.0,26.1, 0.0
M3,29/06/22,11:42:04,     1,  8493,   411, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1608, 0.0,26.1, 0.0
M3,29/06/22,11:42:05,     1,  8494,   411, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1608, 0.0,26.1, 0.0
M3,29/06/22,11:42:06,     1,  8495,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1608, 0.0,26.1, 0.0
M3,29/06/22,11:42:07,     1,  8496,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1608, 0.0,26.1, 0.0
M3,29/06/22,11:42:08,     1,  8497,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1608, 0.0,26.1, 0.0
M3,29/06/22,11:42:09,     1,  8498,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1609, 0.0,26.1, 0.0
M3,29/06/22,11:42:10,     1,  8499,   410, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1609, 0.0,26.1, 0.0
M3,29/06/22,11:42:11,     1,  8500,   411, 1026.0, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1610, 0.0,26.1, 0.0
