Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,29/06/22,13:14:06,     1,  2052,   410, 1025.4, 300, 0.0, 0.0, 0.0, 61, 0.0000,   480, 0.0,29.3, 0.0
M3,29/06/22,13:14:07,     1,  2053,   410, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,29.3, 0.0
M3,29/06/22,13:14:08,     1,  2054,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,29.3, 0.0
M3,29/06/22,13:14:09,     1,  2055,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,29.3, 0.0
M3,29/06/22,13:14:10,     1,  2056,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:11,     1,  2057,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:12,     1,  2058,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:13,     1,  2059,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,29.3, 0.0
M3,29/06/22,13:14:14,     1,  2060,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:15,     1,  2061,   409, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:16,     1,  2062,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,29.3, 0.0
M3,29/06/22,13:14:17,     1,  2063,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,29.3, 0.0
M3,29/06/22,13:14:18,     1,  2064,   410, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:19,     1,  2065,   410, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:20,     1,  2066,   410, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:21,     1,  2067,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,29.3, 0.0
M3,29/06/22,13:14:22,     1,  2068,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,29.3, 0.0
M3,29/06/22,13:14:23,     1,  2069,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,29.3, 0.0
M3,29/06/22,13:14:24,     1,  2070,   408, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,29.3, 0.0
M3,29/06/22,13:14:25,     1,  2071,   408, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:26,     1,  2072,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:27,     1,  2073,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:28,     1,  2074,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:29,     1,  2075,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,29.3, 0.0
M3,29/06/22,13:14:30,     1,  2076,   409, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,29.3, 0.0
M3,29/06/22,13:14:31,     1,  2077,   410, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,29.3, 0.0
M3,29/06/22,13:14:32,     1,  2078,   410, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,29.3, 0.0
M3,29/06/22,13:14:33,     1,  2079,   410, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,29.3, 0.0
M3,29/06/22,13:14:34,     1,  2080,   410, 1025.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,29.2, 0.0
M3,29/06/22,13:14:35,     1,  2081,   410, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,29.2, 0.0
M3,29/06/22,13:14:36,     1,  2082,   410, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   480, 0.0,29.2, 0.0
M3,29/06/22,13:14:37,     1,  2083,   410, 1025.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   480, 0.0,29.2, 0.0
