Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,30/06/22,09:53:32,     1,  7230,   406, 1028.6, 299, 0.0, 0.0, 0.0, 61, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:33,     1,  7231,   406, 1028.6, 299, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:34,     1,  7232,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:35,     1,  7233,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:36,     1,  7234,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:37,     1,  7235,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:38,     1,  7236,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:39,     1,  7237,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:40,     1,  7238,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:41,     1,  7239,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:42,     1,  7240,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:43,     1,  7241,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:44,     1,  7242,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.6, 0.0
M3,30/06/22,09:53:45,     1,  7243,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:46,     1,  7244,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:47,     1,  7245,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:48,     1,  7246,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:49,     1,  7247,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:50,     1,  7248,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:51,     1,  7249,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:52,     1,  7250,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:53,     1,  7251,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:54,     1,  7252,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:55,     1,  7253,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:56,     1,  7254,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:57,     1,  7255,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:58,     1,  7256,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:53:59,     1,  7257,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:00,     1,  7258,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:01,     1,  7259,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:02,     1,  7260,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:03,     1,  7261,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:04,     1,  7262,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:05,     1,  7263,   405, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:06,     1,  7264,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:07,     1,  7265,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:08,     1,  7266,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:09,     1,  7267,   406, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:10,     1,  7268,   407, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:11,     1,  7269,   407, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:12,     1,  7270,   407, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:13,     1,  7271,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:14,     1,  7272,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:15,     1,  7273,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:16,     1,  7274,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:17,     1,  7275,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:18,     1,  7276,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:19,     1,  7277,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:20,     1,  7278,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:21,     1,  7279,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:22,     1,  7280,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:23,     1,  7281,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:24,     1,  7282,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.5, 0.0
M3,30/06/22,09:54:25,     1,  7283,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:26,     1,  7284,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:27,     1,  7285,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:28,     1,  7286,   408, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:29,     1,  7287,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:30,     1,  7288,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:31,     1,  7289,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:32,     1,  7290,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:33,     1,  7291,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:34,     1,  7292,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:35,     1,  7293,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:36,     1,  7294,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:37,     1,  7295,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:38,     1,  7296,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:39,     1,  7297,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:40,     1,  7298,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:41,     1,  7299,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:42,     1,  7300,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:43,     1,  7301,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:44,     1,  7302,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:45,     1,  7303,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:46,     1,  7304,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:47,     1,  7305,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:48,     1,  7306,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:49,     1,  7307,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:50,     1,  7308,   409, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:51,     1,  7309,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:54:52,     1,  7310,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:53,     1,  7311,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:54,     1,  7312,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:55,     1,  7313,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:56,     1,  7314,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:57,     1,  7315,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:58,     1,  7316,   410, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:54:59,     1,  7317,   411, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:55:00,     1,  7318,   411, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:55:01,     1,  7319,   412, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:55:02,     1,  7320,   412, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:55:03,     1,  7321,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.4, 0.0
M3,30/06/22,09:55:04,     1,  7322,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:55:05,     1,  7323,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:55:06,     1,  7324,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:55:07,     1,  7325,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.4, 0.0
M3,30/06/22,09:55:09,     1,  7326,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:10,     1,  7327,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:11,     1,  7328,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:12,     1,  7329,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:13,     1,  7330,   412, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:14,     1,  7331,   412, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:15,     1,  7332,   412, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:16,     1,  7333,   412, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:17,     1,  7334,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:18,     1,  7335,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:19,     1,  7336,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:20,     1,  7337,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:21,     1,  7338,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:22,     1,  7339,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:23,     1,  7340,   413, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:24,     1,  7341,   414, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:25,     1,  7342,   414, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:26,     1,  7343,   414, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:27,     1,  7344,   414, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:28,     1,  7345,   414, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:29,     1,  7346,   414, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:30,     1,  7347,   415, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:31,     1,  7348,   415, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:32,     1,  7349,   415, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:33,     1,  7350,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:34,     1,  7351,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:35,     1,  7352,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:36,     1,  7353,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:37,     1,  7354,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:38,     1,  7355,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:39,     1,  7356,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:40,     1,  7357,   417, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:41,     1,  7358,   417, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:42,     1,  7359,   417, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:43,     1,  7360,   418, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:44,     1,  7361,   417, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:45,     1,  7362,   417, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:46,     1,  7363,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:47,     1,  7364,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:48,     1,  7365,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
M3,30/06/22,09:55:49,     1,  7366,   416, 1028.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.3, 0.0
