Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,30/06/22,10:11:50,     1,  8320,   409, 1028.8, 300, 0.0, 0.0, 0.0, 61, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:51,     1,  8321,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:52,     1,  8322,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,27.3, 0.0
M3,30/06/22,10:11:53,     1,  8323,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:54,     1,  8324,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:55,     1,  8325,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:56,     1,  8326,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:57,     1,  8327,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:58,     1,  8328,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:11:59,     1,  8329,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:12:00,     1,  8330,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:12:01,     1,  8331,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.3, 0.0
M3,30/06/22,10:12:02,     1,  8332,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:03,     1,  8333,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:04,     1,  8334,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:05,     1,  8335,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:06,     1,  8336,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:07,     1,  8337,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:08,     1,  8338,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:09,     1,  8339,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:10,     1,  8340,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:11,     1,  8341,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:12,     1,  8342,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:13,     1,  8343,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:14,     1,  8344,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:15,     1,  8345,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:16,     1,  8346,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:17,     1,  8347,   408, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:18,     1,  8348,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:19,     1,  8349,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:20,     1,  8350,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:21,     1,  8351,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:22,     1,  8352,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:23,     1,  8353,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:24,     1,  8354,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.2, 0.0
M3,30/06/22,10:12:25,     1,  8355,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:26,     1,  8356,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:27,     1,  8357,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:28,     1,  8358,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:29,     1,  8359,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:30,     1,  8360,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:31,     1,  8361,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:32,     1,  8362,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:33,     1,  8363,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:34,     1,  8364,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:35,     1,  8365,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:36,     1,  8366,   409, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:37,     1,  8367,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:38,     1,  8368,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:39,     1,  8369,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:40,     1,  8370,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:41,     1,  8371,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:42,     1,  8372,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:43,     1,  8373,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:44,     1,  8374,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:45,     1,  8375,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:46,     1,  8376,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:47,     1,  8377,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:48,     1,  8378,   410, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.1, 0.0
M3,30/06/22,10:12:49,     1,  8379,   411, 1028.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,27.0, 0.0
