Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,30/06/22,10:42:11,     1, 10127,   405, 1028.9, 300, 0.0, 0.0, 0.0, 61, 0.0000,   475, 0.0,28.4, 	 220M3,30/06/22,10:42:12,     1, 10128,   405, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:13,     1, 10129,   405, 1028.9, 300, 0.0, 0.0, 0.0, 52, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:14,     1, 10130,   405, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:15,     1, 10131,   405, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:16,     1, 10132,   405, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:17,     1, 10133,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:18,     1, 10134,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:19,     1, 10135,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.4, 0.0
M3,30/06/22,10:42:20,     1, 10136,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   476, 0.0,28.3, 0.0
M3,30/06/22,10:42:21,     1, 10137,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,28.3, 0.0
M3,30/06/22,10:42:22,     1, 10138,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,28.3, 0.0
M3,30/06/22,10:42:23,     1, 10139,   403, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,28.3, 0.0
M3,30/06/22,10:42:24,     1, 10140,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,28.4, 0.0
M3,30/06/22,10:42:25,     1, 10141,   404, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,28.3, 0.0
