Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,30/06/22,10:54:29,     1, 10860,   412, 1028.9, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1557, 0.0,28.0, 0.0
M3,30/06/22,10:54:30,     1, 10861,   412, 1028.9, 299, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.0, 0.0
M3,30/06/22,10:54:31,     1, 10862,   412, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.0, 0.0
M3,30/06/22,10:54:32,     1, 10863,   411, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.1, 0.0
M3,30/06/22,10:54:33,     1, 10864,   411, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1554, 0.0,28.1, 0.0
M3,30/06/22,10:54:34,     1, 10865,   411, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.1, 0.0
M3,30/06/22,10:54:35,     1, 10866,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1553, 0.0,28.1, 0.0
M3,30/06/22,10:54:36,     1, 10867,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1554, 0.0,28.1, 0.0
M3,30/06/22,10:54:37,     1, 10868,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1555, 0.0,28.1, 0.0
M3,30/06/22,10:54:38,     1, 10869,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.1, 0.0
M3,30/06/22,10:54:39,     1, 10870,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.1, 0.0
M3,30/06/22,10:54:40,     1, 10871,   411, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.2, 0.0
M3,30/06/22,10:54:42,     1, 10872,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1556, 0.0,28.2, 0.0
M3,30/06/22,10:54:43,     1, 10873,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,28.2, 0.0
M3,30/06/22,10:54:44,     1, 10874,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,28.2, 0.0
M3,30/06/22,10:54:45,     1, 10875,   410, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,28.2, 0.0
M3,30/06/22,10:54:46,     1, 10876,   409, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,28.2, 0.0
M3,30/06/22,10:54:47,     1, 10877,   409, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,28.2, 0.0
M3,30/06/22,10:54:48,     1, 10878,   408, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,28.2, 0.0
M3,30/06/22,10:54:49,     1, 10879,   408, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1557, 0.0,28.2, 0.0
M3,30/06/22,10:54:50,     1, 10880,   408, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,28.2, 0.0
M3,30/06/22,10:54:51,     1, 10881,   408, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,28.3, 0.0
M3,30/06/22,10:54:52,     1, 10882,   408, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,28.3, 0.0
M3,30/06/22,10:54:53,     1, 10883,   408, 1028.9, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1558, 0.0,28.3, 0.0
