Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,13/07/22,09:57:03,     1,  4451,   411, 1014.5, 299, 0.0, 0.0, 0.0, 61, 0.0000,  1050, 0.0,24.3, 0.0
M3,13/07/22,09:57:04,     1,  4452,   411, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   966, 0.0,24.3, 0.0
M3,13/07/22,09:57:05,     1,  4453,   410, 1014.5, 301, 0.0, 0.0, 0.0,  0, 0.0000,   911, 0.0,24.3, 0.0
M3,13/07/22,09:57:06,     1,  4454,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   916, 0.0,24.3, 0.0
M3,13/07/22,09:57:07,     1,  4455,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   958, 0.0,24.4, 0.0
M3,13/07/22,09:57:08,     1,  4456,   411, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1019, 0.0,24.4, 0.0
M3,13/07/22,09:57:09,     1,  4457,   411, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1002, 0.0,24.4, 0.0
M3,13/07/22,09:57:10,     1,  4458,   411, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   960, 0.0,24.4, 0.0
M3,13/07/22,09:57:11,     1,  4459,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   902, 0.0,24.4, 0.0
M3,13/07/22,09:57:12,     1,  4460,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   904, 0.0,24.4, 0.0
M3,13/07/22,09:57:13,     1,  4461,   409, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   839, 0.0,24.4, 0.0
M3,13/07/22,09:57:14,     1,  4462,   409, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   964, 0.0,24.4, 0.0
M3,13/07/22,09:57:15,     1,  4463,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   938, 0.0,24.4, 0.0
M3,13/07/22,09:57:16,     1,  4464,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   898, 0.0,24.4, 0.0
M3,13/07/22,09:57:17,     1,  4465,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   857, 0.0,24.4, 0.0
M3,13/07/22,09:57:18,     1,  4466,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   900, 0.0,24.4, 0.0
M3,13/07/22,09:57:19,     1,  4467,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   922, 0.0,24.4, 0.0
M3,13/07/22,09:57:20,     1,  4468,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   883, 0.0,24.4, 0.0
M3,13/07/22,09:57:21,     1,  4469,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   757, 0.0,24.4, 0.0
M3,13/07/22,09:57:22,     1,  4470,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   624, 0.0,24.4, 0.0
M3,13/07/22,09:57:23,     1,  4471,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   530, 0.0,24.4, 0.0
M3,13/07/22,09:57:24,     1,  4472,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   480, 0.0,24.4, 0.0
M3,13/07/22,09:57:25,     1,  4473,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   462, 0.0,24.4, 0.0
M3,13/07/22,09:57:26,     1,  4474,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   450, 0.0,24.4, 0.0
M3,13/07/22,09:57:27,     1,  4475,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   438, 0.0,24.4, 0.0
M3,13/07/22,09:57:28,     1,  4476,   410, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   439, 0.0,24.4, 0.0
