Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,13/07/22,10:00:27,     1,  4654,   408, 1014.5, 300, 0.0, 0.0, 0.0, 61, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:28,     1,  4655,   408, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:29,     1,  4656,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:30,     1,  4657,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:31,     1,  4658,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:32,     1,  4659,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:33,     1,  4660,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:34,     1,  4661,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:35,     1,  4662,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:36,     1,  4663,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:37,     1,  4664,   408, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:38,     1,  4665,   408, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:39,     1,  4666,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
M3,13/07/22,10:00:40,     1,  4667,   407, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,24.2, 0.0
