Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,13/07/22,10:03:33,     1,  4839,   405, 1014.5, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1500, 0.0,23.7, 0.0
M3,13/07/22,10:03:34,     1,  4840,   405, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1563, 0.0,23.8, 0.0
M3,13/07/22,10:03:35,     1,  4841,   405, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1582, 0.0,23.8, 0.0
M3,13/07/22,10:03:36,     1,  4842,   405, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1624, 0.0,23.8, 0.0
M3,13/07/22,10:03:37,     1,  4843,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1661, 0.0,23.9, 0.0
M3,13/07/22,10:03:38,     1,  4844,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1663, 0.0,23.9, 0.0
M3,13/07/22,10:03:39,     1,  4845,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1657, 0.0,23.9, 0.0
M3,13/07/22,10:03:40,     1,  4846,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1642, 0.0,23.9, 0.0
M3,13/07/22,10:03:41,     1,  4847,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1637, 0.0,24.0, 0.0
M3,13/07/22,10:03:42,     1,  4848,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1644, 0.0,24.0, 0.0
M3,13/07/22,10:03:43,     1,  4849,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1642, 0.0,24.0, 0.0
M3,13/07/22,10:03:44,     1,  4850,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1640, 0.0,24.0, 0.0
M3,13/07/22,10:03:45,     1,  4851,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1640, 0.0,24.0, 0.0
M3,13/07/22,10:03:46,     1,  4852,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1640, 0.0,24.0, 0.0
M3,13/07/22,10:03:47,     1,  4853,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1639, 0.0,24.0, 0.0
M3,13/07/22,10:03:48,     1,  4854,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1639, 0.0,24.1, 0.0
M3,13/07/22,10:03:49,     1,  4855,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1639, 0.0,24.1, 0.0
M3,13/07/22,10:03:50,     1,  4856,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1639, 0.0,24.1, 0.0
M3,13/07/22,10:03:51,     1,  4857,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1640, 0.0,24.1, 0.0
M3,13/07/22,10:03:52,     1,  4858,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1639, 0.0,24.1, 0.0
M3,13/07/22,10:03:53,     1,  4859,   404, 1014.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1638, 0.0,24.1, 0.0
