Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,13/07/22,11:36:29,     1, 10375,   406, 1015.3, 300, 0.0, 0.0, 0.0, 61, 0.0000,   468, 0.0,26.5, 0.0
M3,13/07/22,11:36:30,     1, 10376,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   469, 0.0,26.5, 0.0
M3,13/07/22,11:36:31,     1, 10377,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   466, 0.0,26.5, 0.0
M3,13/07/22,11:36:32,     1, 10378,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   465, 0.0,26.5, 0.0
M3,13/07/22,11:36:33,     1, 10379,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   465, 0.0,26.5, 0.0
M3,13/07/22,11:36:34,     1, 10380,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   464, 0.0,26.5, 0.0
M3,13/07/22,11:36:35,     1, 10381,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   463, 0.0,26.5, 0.0
M3,13/07/22,11:36:36,     1, 10382,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   462, 0.0,26.5, 0.0
M3,13/07/22,11:36:37,     1, 10383,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   460, 0.0,26.5, 0.0
M3,13/07/22,11:36:38,     1, 10384,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   459, 0.0,26.5, 0.0
M3,13/07/22,11:36:39,     1, 10385,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   458, 0.0,26.5, 0.0
M3,13/07/22,11:36:40,     1, 10386,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   457, 0.0,26.5, 0.0
M3,13/07/22,11:36:41,     1, 10387,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   456, 0.0,26.5, 0.0
M3,13/07/22,11:36:42,     1, 10388,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   455, 0.0,26.5, 0.0
M3,13/07/22,11:36:43,     1, 10389,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   454, 0.0,26.5, 0.0
M3,13/07/22,11:36:44,     1, 10390,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   452, 0.0,26.5, 0.0
M3,13/07/22,11:36:45,     1, 10391,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   451, 0.0,26.5, 0.0
M3,13/07/22,11:36:46,     1, 10392,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   450, 0.0,26.5, 0.0
M3,13/07/22,11:36:47,     1, 10393,   405, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   449, 0.0,26.5, 0.0
M3,13/07/22,11:36:48,     1, 10394,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   447, 0.0,26.5, 0.0
M3,13/07/22,11:36:49,     1, 10395,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   446, 0.0,26.5, 0.0
M3,13/07/22,11:36:50,     1, 10396,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,13/07/22,11:36:51,     1, 10397,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   444, 0.0,26.5, 0.0
M3,13/07/22,11:36:52,     1, 10398,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   442, 0.0,26.5, 0.0
M3,13/07/22,11:36:53,     1, 10399,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   441, 0.0,26.5, 0.0
M3,13/07/22,11:36:54,     1, 10400,   406, 1015.3, 300, 0.0, 0.0, 0.0,  0, 0.0000,   440, 0.0,26.5, 0.0
