Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,13/07/22,12:01:05,     1, 11841,   406, 1015.4, 299, 0.0, 0.0, 0.0, 61, 0.0000,   537, 0.0,24.7, 0.0
M3,13/07/22,12:01:06,     1, 11842,   406, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   538, 0.0,24.7, 0.0
M3,13/07/22,12:01:07,     1, 11843,   406, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   539, 0.0,24.7, 0.0
M3,13/07/22,12:01:08,     1, 11844,   406, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   540, 0.0,24.7, 0.0
M3,13/07/22,12:01:09,     1, 11845,   406, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   542, 0.0,24.7, 0.0
M3,13/07/22,12:01:10,     1, 11846,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   544, 0.0,24.7, 0.0
M3,13/07/22,12:01:11,     1, 11847,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   546, 0.0,24.7, 0.0
M3,13/07/22,12:01:12,     1, 11848,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   549, 0.0,24.7, 0.0
M3,13/07/22,12:01:13,     1, 11849,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   552, 0.0,24.7, 0.0
M3,13/07/22,12:01:14,     1, 11850,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   556, 0.0,24.7, 0.0
M3,13/07/22,12:01:15,     1, 11851,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   562, 0.0,24.7, 0.0
M3,13/07/22,12:01:16,     1, 11852,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   568, 0.0,24.7, 0.0
M3,13/07/22,12:01:17,     1, 11853,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   576, 0.0,24.7, 0.0
M3,13/07/22,12:01:18,     1, 11854,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   587, 0.0,24.7, 0.0
M3,13/07/22,12:01:19,     1, 11855,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   601, 0.0,24.7, 0.0
M3,13/07/22,12:01:20,     1, 11856,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   628, 0.0,24.7, 0.0
M3,13/07/22,12:01:21,     1, 11857,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   669, 0.0,24.7, 0.0
M3,13/07/22,12:01:22,     1, 11858,   405, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   707, 0.0,24.7, 0.0
M3,13/07/22,12:01:23,     1, 11859,   404, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   716, 0.0,24.7, 0.0
M3,13/07/22,12:01:24,     1, 11860,   404, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   733, 0.0,24.7, 0.0
M3,13/07/22,12:01:25,     1, 11861,   404, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   779, 0.0,24.7, 0.0
M3,13/07/22,12:01:26,     1, 11862,   404, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,   900, 0.0,24.7, 0.0
M3,13/07/22,12:01:27,     1, 11863,   404, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1088, 0.0,24.7, 0.0
M3,13/07/22,12:01:28,     1, 11864,   404, 1015.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1219, 0.0,24.7, 0.0
