Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,13/07/22,12:11:17,     1, 12448,   403, 1015.5, 300, 0.0, 0.0, 0.0, 61, 0.0000,     1, 0.0,26.7, 0.0
M3,13/07/22,12:11:18,     1, 12449,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.7, 0.0
M3,13/07/22,12:11:19,     1, 12450,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.7, 0.0
M3,13/07/22,12:11:20,     1, 12451,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.7, 0.0
M3,13/07/22,12:11:21,     1, 12452,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:22,     1, 12453,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,26.7, 0.0
M3,13/07/22,12:11:23,     1, 12454,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:24,     1, 12455,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:25,     1, 12456,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:26,     1, 12457,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:27,     1, 12458,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:28,     1, 12459,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:29,     1, 12460,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
M3,13/07/22,12:11:30,     1, 12461,   403, 1015.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,26.7, 0.0
