Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,14/07/22,09:47:37,     1,  2831,   424, 1024.5, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1035, 0.0,28.4, 0.0
M3,14/07/22,09:47:38,     1,  2832,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1102, 0.0,28.4, 0.0
M3,14/07/22,09:47:39,     1,  2833,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1129, 0.0,28.4, 0.0
M3,14/07/22,09:47:40,     1,  2834,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1030, 0.0,28.4, 0.0
M3,14/07/22,09:47:41,     1,  2835,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   976, 0.0,28.4, 0.0
M3,14/07/22,09:47:42,     1,  2836,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1027, 0.0,28.4, 0.0
M3,14/07/22,09:47:43,     1,  2837,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1070, 0.0,28.4, 0.0
M3,14/07/22,09:47:44,     1,  2838,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   879, 0.0,28.4, 0.0
M3,14/07/22,09:47:45,     1,  2839,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   828, 0.0,28.5, 0.0
M3,14/07/22,09:47:46,     1,  2840,   424, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   837, 0.0,28.5, 0.0
M3,14/07/22,09:47:47,     1,  2841,   423, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   846, 0.0,28.5, 0.0
M3,14/07/22,09:47:48,     1,  2842,   423, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   847, 0.0,28.5, 0.0
M3,14/07/22,09:47:49,     1,  2843,   423, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   870, 0.0,28.5, 0.0
M3,14/07/22,09:47:50,     1,  2844,   423, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   888, 0.0,28.5, 0.0
M3,14/07/22,09:47:51,     1,  2845,   423, 1024.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,   902, 0.0,28.5, 0.0
