Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,14/07/22,10:43:06,     1,  6136,   419, 1024.8, 300, 0.0, 0.0, 0.0, 61, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:07,     1,  6137,   419, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:08,     1,  6138,   419, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:09,     1,  6139,   419, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:10,     1,  6140,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:11,     1,  6141,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:12,     1,  6142,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:13,     1,  6143,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:14,     1,  6144,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:15,     1,  6145,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:16,     1,  6146,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:17,     1,  6147,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:18,     1,  6148,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:19,     1,  6149,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:20,     1,  6150,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:21,     1,  6151,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:22,     1,  6152,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:23,     1,  6153,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:24,     1,  6154,   420, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:25,     1,  6155,   421, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:26,     1,  6156,   421, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:27,     1,  6157,   421, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:28,     1,  6158,   421, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:29,     1,  6159,   421, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:30,     1,  6160,   421, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:31,     1,  6161,   422, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:32,     1,  6162,   422, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:33,     1,  6163,   422, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:34,     1,  6164,   422, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
M3,14/07/22,10:43:35,     1,  6165,   422, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,25.0, 0.0
