Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,14/07/22,10:52:51,     1,  6717,   412, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,26.3, 0.0
M3,14/07/22,10:52:52,     1,  6718,   412, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   474, 0.0,26.3, 0.0
M3,14/07/22,10:52:53,     1,  6719,   411, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   462, 0.0,26.4, 0.0
Zero
M3,14/07/22,10:53:20,     1,  6746,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   451, 0.0,26.5, 0.0
M3,14/07/22,10:53:21,     1,  6747,   404, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   449, 0.0,26.5, 0.0
M3,14/07/22,10:53:22,     1,  6748,   404, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   447, 0.0,26.5, 0.0
M3,14/07/22,10:53:23,     1,  6749,   405, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:24,     1,  6750,   405, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   443, 0.0,26.5, 0.0
M3,14/07/22,10:53:25,     1,  6751,   404, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   441, 0.0,26.5, 0.0
M3,14/07/22,10:53:26,     1,  6752,   404, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   439, 0.0,26.5, 0.0
M3,14/07/22,10:53:27,     1,  6753,   405, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   438, 0.0,26.5, 0.0
M3,14/07/22,10:53:28,     1,  6754,   405, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   437, 0.0,26.5, 0.0
M3,14/07/22,10:53:29,     1,  6755,   405, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   436, 0.0,26.5, 0.0
M3,14/07/22,10:53:30,     1,  6756,   405, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   436, 0.0,26.5, 0.0
M3,14/07/22,10:53:31,     1,  6757,   405, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   436, 0.0,26.5, 0.0
M3,14/07/22,10:53:32,     1,  6758,   404, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   437, 0.0,26.5, 0.0
M3,14/07/22,10:53:34,     1,  6759,   404, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   438, 0.0,26.5, 0.0
M3,14/07/22,10:53:35,     1,  6760,   404, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   439, 0.0,26.5, 0.0
M3,14/07/22,10:53:36,     1,  6761,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   441, 0.0,26.5, 0.0
M3,14/07/22,10:53:37,     1,  6762,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   442, 0.0,26.5, 0.0
M3,14/07/22,10:53:38,     1,  6763,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   443, 0.0,26.5, 0.0
M3,14/07/22,10:53:39,     1,  6764,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   444, 0.0,26.5, 0.0
M3,14/07/22,10:53:40,     1,  6765,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:41,     1,  6766,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:42,     1,  6767,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:43,     1,  6768,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:44,     1,  6769,   403, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:45,     1,  6770,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:46,     1,  6771,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   445, 0.0,26.5, 0.0
M3,14/07/22,10:53:47,     1,  6772,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   444, 0.0,26.5, 0.0
M3,14/07/22,10:53:48,     1,  6773,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   443, 0.0,26.5, 0.0
M3,14/07/22,10:53:49,     1,  6774,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   442, 0.0,26.5, 0.0
M3,14/07/22,10:53:50,     1,  6775,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   441, 0.0,26.5, 0.0
M3,14/07/22,10:53:51,     1,  6776,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   440, 0.0,26.5, 0.0
M3,14/07/22,10:53:52,     1,  6777,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   440, 0.0,26.5, 0.0
M3,14/07/22,10:53:53,     1,  6778,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   439, 0.0,26.5, 0.0
M3,14/07/22,10:53:54,     1,  6779,   402, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   439, 0.0,26.5, 0.0
M3,14/07/22,10:53:55,     1,  6780,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   440, 0.0,26.5, 0.0
M3,14/07/22,10:53:56,     1,  6781,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   441, 0.0,26.5, 0.0
M3,14/07/22,10:53:57,     1,  6782,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   441, 0.0,26.6, 0.0
M3,14/07/22,10:53:58,     1,  6783,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   442, 0.0,26.6, 0.0
M3,14/07/22,10:53:59,     1,  6784,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   443, 0.0,26.6, 0.0
M3,14/07/22,10:54:00,     1,  6785,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   443, 0.0,26.6, 0.0
M3,14/07/22,10:54:01,     1,  6786,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   443, 0.0,26.6, 0.0
M3,14/07/22,10:54:02,     1,  6787,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   444, 0.0,26.6, 0.0
M3,14/07/22,10:54:03,     1,  6788,   401, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   444, 0.0,26.6, 0.0
M3,14/07/22,10:54:04,     1,  6789,   400, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,   444, 0.0,26.6, 0.0
