Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,14/07/22,11:42:16,     1,  9659,   410, 1024.8, 300, 0.0, 0.0, 0.0, 61, 0.0000,     3, 0.0,35.7, 0.0
M3,14/07/22,11:42:17,     1,  9660,   410, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.7, 0.0
M3,14/07/22,11:42:18,     1,  9661,   410, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.7, 0.0
M3,14/07/22,11:42:19,     1,  9662,   411, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.7, 0.0
M3,14/07/22,11:42:20,     1,  9663,   411, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.7, 0.0
M3,14/07/22,11:42:21,     1,  9664,   411, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.7, 0.0
M3,14/07/22,11:42:22,     1,  9665,   411, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.7, 0.0
M3,14/07/22,11:42:23,     1,  9666,   412, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.6, 0.0
M3,14/07/22,11:42:24,     1,  9667,   412, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.6, 0.0
M3,14/07/22,11:42:25,     1,  9668,   413, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.6, 0.0
M3,14/07/22,11:42:26,     1,  9669,   413, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.6, 0.0
M3,14/07/22,11:42:27,     1,  9670,   413, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.6, 0.0
M3,14/07/22,11:42:28,     1,  9671,   414, 1024.8, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.6, 0.0
