Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,14/07/22,11:59:46,     1, 10701,   415, 1024.7, 300, 0.0, 0.0, 0.0, 61, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:47,     1, 10702,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:48,     1, 10703,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:49,     1, 10704,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:50,     1, 10705,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:51,     1, 10706,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:52,     1, 10707,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:53,     1, 10708,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:54,     1, 10709,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:55,     1, 10710,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:56,     1, 10711,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:57,     1, 10712,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:58,     1, 10713,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,11:59:59,     1, 10714,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,12:00:00,     1, 10715,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,12:00:01,     1, 10716,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,12:00:02,     1, 10717,   415, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.7, 0.0
M3,14/07/22,12:00:03,     1, 10718,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:04,     1, 10719,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:05,     1, 10720,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:06,     1, 10721,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:07,     1, 10722,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:08,     1, 10723,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:09,     1, 10724,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:10,     1, 10725,   416, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:11,     1, 10726,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:12,     1, 10727,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:13,     1, 10728,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:14,     1, 10729,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:15,     1, 10730,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:16,     1, 10731,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:17,     1, 10732,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:18,     1, 10733,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:19,     1, 10734,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:20,     1, 10735,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,14/07/22,12:00:21,     1, 10736,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:22,     1, 10737,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:23,     1, 10738,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:24,     1, 10739,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:25,     1, 10740,   419, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:26,     1, 10741,   419, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:27,     1, 10742,   419, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:28,     1, 10743,   420, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:29,     1, 10744,   419, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:30,     1, 10745,   419, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,14/07/22,12:00:31,     1, 10746,   419, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
