Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,14/07/22,12:09:21,     1, 11272,   417, 1024.6, 299, 0.0, 0.0, 0.0, 61, 0.0000,  1223, 0.0,36.3, 0.0
M3,14/07/22,12:09:22,     1, 11273,   417, 1024.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1324, 0.0,36.3, 0.0
M3,14/07/22,12:09:24,     1, 11274,   417, 1024.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1372, 0.0,36.3, 0.0
M3,14/07/22,12:09:25,     1, 11275,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1338, 0.0,36.3, 0.0
M3,14/07/22,12:09:26,     1, 11276,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1336, 0.0,36.3, 0.0
M3,14/07/22,12:09:27,     1, 11277,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1365, 0.0,36.3, 0.0
M3,14/07/22,12:09:28,     1, 11278,   418, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1362, 0.0,36.3, 0.0
M3,14/07/22,12:09:29,     1, 11279,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1331, 0.0,36.3, 0.0
M3,14/07/22,12:09:30,     1, 11280,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1338, 0.0,36.3, 0.0
M3,14/07/22,12:09:31,     1, 11281,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1325, 0.0,36.3, 0.0
M3,14/07/22,12:09:32,     1, 11282,   417, 1024.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1298, 0.0,36.3, 0.0
M3,14/07/22,12:09:33,     1, 11283,   417, 1024.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1272, 0.0,36.3, 0.0
M3,14/07/22,12:09:34,     1, 11284,   417, 1024.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1252, 0.0,36.3, 0.0
