Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,15/07/22,11:44:19,     1, 10319,   411, 1022.6, 300, 0.0, 0.0, 0.0, 24, 0.0000,     0, 0.0,21.6, 0.0
M3,15/07/22,11:44:21,     1, 10321,   411, 1022.6, 300, 0.0, 0.0, 0.0, 24, 0.0000,     0, 0.0,21.6, 0.0
M3,15/07/22,11:44:22,     1, 10322,   411, 1022.6, 300, 0.0, 0.0, 0.0, 24, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:23,     1, 10323,   411, 1022.6, 300, 0.0, 0.0, 0.0, 24, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:24,     1, 10324,   412, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:25,     1, 10325,   412, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:26,     1, 10326,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:27,     1, 10327,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:28,     1, 10328,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:29,     1, 10329,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:30,     1, 10330,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:31,     1, 10331,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:32,     1, 10332,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:33,     1, 10333,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:34,     1, 10334,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:35,     1, 10335,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:36,     1, 10336,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:37,     1, 10337,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:38,     1, 10338,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:39,     1, 10339,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:40,     1, 10340,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:41,     1, 10341,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:42,     1, 10342,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:43,     1, 10343,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:44,     1, 10344,   411, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:45,     1, 10345,   411, 1022.6, 299, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:46,     1, 10346,   411, 1022.6, 299, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:47,     1, 10347,   411, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:48,     1, 10348,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:49,     1, 10349,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:50,     1, 10350,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:51,     1, 10351,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:52,     1, 10352,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:53,     1, 10353,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:54,     1, 10354,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:55,     1, 10355,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:56,     1, 10356,   412, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:57,     1, 10357,   413, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:58,     1, 10358,   413, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:44:59,     1, 10359,   413, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:00,     1, 10360,   413, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:01,     1, 10361,   413, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:02,     1, 10362,   413, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:03,     1, 10363,   413, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:04,     1, 10364,   413, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:05,     1, 10365,   414, 1022.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:06,     1, 10366,   414, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:07,     1, 10367,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:08,     1, 10368,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:09,     1, 10369,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:10,     1, 10370,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:11,     1, 10371,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:12,     1, 10372,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:13,     1, 10373,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:14,     1, 10374,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:15,     1, 10375,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:16,     1, 10376,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:17,     1, 10377,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:18,     1, 10378,   415, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:19,     1, 10379,   415, 1022.5, 300, 0.0, 0.0, 0.0, 25, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:20,     1, 10380,   415, 1022.5, 300, 0.0, 0.0, 0.0, 25, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:21,     1, 10381,   415, 1022.5, 300, 0.0, 0.0, 0.0, 25, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:22,     1, 10382,   415, 1022.5, 300, 0.0, 0.0, 0.0, 25, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:23,     1, 10383,   416, 1022.5, 300, 0.0, 0.0, 0.0, 25, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:24,     1, 10384,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:25,     1, 10385,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:26,     1, 10386,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:27,     1, 10387,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:28,     1, 10388,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:29,     1, 10389,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:30,     1, 10390,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
M3,15/07/22,11:45:31,     1, 10391,   416, 1022.5, 300, 0.0, 0.0, 0.0,  0, 0.0000,     0, 0.0,21.5, 0.0
