Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,15/07/22,11:53:13,     1, 10849,   412, 1022.4, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1720, 0.0,23.7, 0.0
M3,15/07/22,11:53:14,     1, 10850,   412, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1719, 0.0,23.7, 0.0
M3,15/07/22,11:53:15,     1, 10851,   412, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1722, 0.0,23.7, 0.0
M3,15/07/22,11:53:16,     1, 10852,   412, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1726, 0.0,23.7, 0.0
M3,15/07/22,11:53:17,     1, 10853,   412, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1732, 0.0,23.7, 0.0
M3,15/07/22,11:53:18,     1, 10854,   411, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1732, 0.0,23.7, 0.0
M3,15/07/22,11:53:19,     1, 10855,   411, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1732, 0.0,23.7, 0.0
M3,15/07/22,11:53:20,     1, 10856,   411, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1734, 0.0,23.7, 0.0
M3,15/07/22,11:53:21,     1, 10857,   411, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1732, 0.0,23.8, 0.0
M3,15/07/22,11:53:22,     1, 10858,   411, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1732, 0.0,23.8, 0.0
M3,15/07/22,11:53:23,     1, 10859,   411, 1022.4, 299, 0.0, 0.0, 0.0,  0, 0.0000,  1733, 0.0,23.8, 0.0
M3,15/07/22,11:53:24,     1, 10860,   411, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1732, 0.0,23.8, 0.0
M3,15/07/22,11:53:25,     1, 10861,   411, 1022.4, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1733, 0.0,23.8, 0.0
