Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,27/07/22,10:56:29,     1,  4958,   396, 1016.7, 300, 0.0, 0.0, 0.0, 61, 0.0000,   379, 0.0,21.7, 0.0
M3,27/07/22,10:56:30,     1,  4959,   396, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   378, 0.0,21.7, 0.0
M3,27/07/22,10:56:31,     1,  4960,   395, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   367, 0.0,21.7, 0.0
M3,27/07/22,10:56:32,     1,  4961,   395, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   366, 0.0,21.7, 0.0
M3,27/07/22,10:56:33,     1,  4962,   395, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   378, 0.0,21.7, 0.0
M3,27/07/22,10:56:34,     1,  4963,   394, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   378, 0.0,21.7, 0.0
M3,27/07/22,10:56:35,     1,  4964,   394, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   374, 0.0,21.7, 0.0
M3,27/07/22,10:56:36,     1,  4965,   394, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   368, 0.0,21.7, 0.0
M3,27/07/22,10:56:37,     1,  4966,   394, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   373, 0.0,21.7, 0.0
M3,27/07/22,10:56:38,     1,  4967,   394, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   372, 0.0,21.7, 0.0
M3,27/07/22,10:56:39,     1,  4968,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   370, 0.0,21.7, 0.0
M3,27/07/22,10:56:40,     1,  4969,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   365, 0.0,21.7, 0.0
M3,27/07/22,10:56:41,     1,  4970,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   369, 0.0,21.7, 0.0
M3,27/07/22,10:56:42,     1,  4971,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   370, 0.0,21.7, 0.0
M3,27/07/22,10:56:43,     1,  4972,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   369, 0.0,21.7, 0.0
M3,27/07/22,10:56:44,     1,  4973,   392, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   364, 0.0,21.7, 0.0
M3,27/07/22,10:56:45,     1,  4974,   392, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   361, 0.0,21.7, 0.0
M3,27/07/22,10:56:46,     1,  4975,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   360, 0.0,21.7, 0.0
M3,27/07/22,10:56:47,     1,  4976,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   360, 0.0,21.7, 0.0
M3,27/07/22,10:56:48,     1,  4977,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   359, 0.0,21.7, 0.0
M3,27/07/22,10:56:49,     1,  4978,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   348, 0.0,21.7, 0.0
M3,27/07/22,10:56:50,     1,  4979,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   367, 0.0,21.7, 0.0
M3,27/07/22,10:56:51,     1,  4980,   393, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   357, 0.0,21.7, 0.0
M3,27/07/22,10:56:52,     1,  4981,   392, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   358, 0.0,21.7, 0.0
M3,27/07/22,10:56:53,     1,  4982,   392, 1016.7, 300, 0.0, 0.0, 0.0,  0, 0.0000,   356, 0.0,21.7, 0.0
