Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,28/07/22,13:04:07,     1, 13368,   396, 1018.1, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1574, 0.0,35.5, 0.0
M3,28/07/22,13:04:08,     1, 13369,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1571, 0.0,35.5, 0.0
M3,28/07/22,13:04:09,     1, 13370,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1563, 0.0,35.5, 0.0
M3,28/07/22,13:04:10,     1, 13371,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1563, 0.0,35.6, 0.0
M3,28/07/22,13:04:11,     1, 13372,   396, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1121, 0.0,35.6, 0.0
M3,28/07/22,13:04:12,     1, 13373,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,   110, 0.0,35.6, 0.0
M3,28/07/22,13:04:13,     1, 13374,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1353, 0.0,35.6, 0.0
M3,28/07/22,13:04:14,     1, 13375,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,   740, 0.0,35.6, 0.0
M3,28/07/22,13:04:15,     1, 13376,   394, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,   279, 0.0,35.6, 0.0
M3,28/07/22,13:04:16,     1, 13377,   394, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     7, 0.0,35.6, 0.0
M3,28/07/22,13:04:17,     1, 13378,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     5, 0.0,35.6, 0.0
M3,28/07/22,13:04:18,     1, 13379,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     4, 0.0,35.6, 0.0
M3,28/07/22,13:04:19,     1, 13380,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     3, 0.0,35.6, 0.0
M3,28/07/22,13:04:20,     1, 13381,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:21,     1, 13382,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:22,     1, 13383,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:23,     1, 13384,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:24,     1, 13385,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:25,     1, 13386,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:26,     1, 13387,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:27,     1, 13388,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:28,     1, 13389,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:29,     1, 13390,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:30,     1, 13391,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:31,     1, 13392,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:32,     1, 13393,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:33,     1, 13394,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:34,     1, 13395,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:35,     1, 13396,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:36,     1, 13397,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:37,     1, 13398,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:38,     1, 13399,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:39,     1, 13400,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:40,     1, 13401,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:41,     1, 13402,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:42,     1, 13403,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:43,     1, 13404,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:44,     1, 13405,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:45,     1, 13406,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:46,     1, 13407,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:47,     1, 13408,   392, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:48,     1, 13409,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:49,     1, 13410,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:50,     1, 13411,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:51,     1, 13412,   393, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:52,     1, 13413,   394, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:53,     1, 13414,   394, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:54,     1, 13415,   394, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:55,     1, 13416,   394, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:56,     1, 13417,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:57,     1, 13418,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:58,     1, 13419,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:04:59,     1, 13420,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:00,     1, 13421,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:01,     1, 13422,   395, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:02,     1, 13423,   396, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:03,     1, 13424,   396, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:04,     1, 13425,   397, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:05,     1, 13426,   397, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:06,     1, 13427,   397, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:07,     1, 13428,   397, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:08,     1, 13429,   398, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.6, 0.0
M3,28/07/22,13:05:09,     1, 13430,   398, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:10,     1, 13431,   397, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:11,     1, 13432,   397, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:12,     1, 13433,   397, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:13,     1, 13434,   398, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:14,     1, 13435,   398, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.6, 0.0
M3,28/07/22,13:05:15,     1, 13436,   398, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.6, 0.0
M3,28/07/22,13:05:16,     1, 13437,   399, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.6, 0.0
M3,28/07/22,13:05:17,     1, 13438,   399, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:18,     1, 13439,   399, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:19,     1, 13440,   399, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:20,     1, 13441,   399, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:21,     1, 13442,   399, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.6, 0.0
M3,28/07/22,13:05:22,     1, 13443,   400, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.6, 0.0
M3,28/07/22,13:05:23,     1, 13444,   400, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.6, 0.0
M3,28/07/22,13:05:24,     1, 13445,   400, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:25,     1, 13446,   401, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:26,     1, 13447,   401, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.5, 0.0
M3,28/07/22,13:05:27,     1, 13448,   401, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:28,     1, 13449,   401, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:29,     1, 13450,   401, 1018.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:30,     1, 13451,   401, 1018.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:31,     1, 13452,   401, 1018.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:32,     1, 13453,   401, 1018.2, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:33,     1, 13454,   402, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     1, 0.0,35.5, 0.0
M3,28/07/22,13:05:34,     1, 13455,   402, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:35,     1, 13456,   402, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:36,     1, 13457,   402, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:37,     1, 13458,   402, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:38,     1, 13459,   402, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:39,     1, 13460,   403, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:40,     1, 13461,   403, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
M3,28/07/22,13:05:41,     1, 13462,   404, 1018.1, 300, 0.0, 0.0, 0.0,  0, 0.0000,     2, 0.0,35.5, 0.0
