LGR ICOS V4.19.051.CH4.L.051 Trace Gas Spectrometer-- 2022 Apr 22 19:01:58
   Time_sec,    CH4_ppm, Press_Torr, Cav_T_Cels, MirrorT_us,   Cal_Flag 
     10.995,     2.1106,    138.309,     22.765,  15.927313,          0
     11.991,     2.1065,    138.306,     22.766,  15.938648,          0
     12.987,     2.1046,    138.303,     22.768,  15.947509,          0
     13.982,     2.1012,    138.304,     22.771,  15.954090,          0
     15.297,     2.0969,    138.290,     22.775,  15.974147,          0
     16.293,     2.0935,    138.299,     22.771,  15.992400,          0
     17.289,     2.0909,    138.305,     22.771,  16.006773,          0
     18.285,     2.0914,    138.290,     22.772,  16.015952,          0
     19.280,     2.0868,    138.297,     22.773,  16.021541,          0
     20.276,     2.0887,    138.296,     22.773,  16.025893,          0
     21.272,     2.0891,    138.300,     22.772,  16.025824,          0
     22.267,     2.0913,    138.296,     22.773,  16.025425,          0
     23.268,     2.0907,    138.293,     22.773,  16.026851,          0
     24.264,     2.0897,    138.299,     22.773,  16.028370,          0
     25.265,     2.0931,    138.295,     22.773,  16.026742,          0
     26.266,     2.0922,    138.288,     22.775,  16.027661,          0
     27.267,     2.0946,    138.299,     22.774,  16.028517,          0
     28.268,     2.0938,    138.290,     22.775,  16.028655,          0
     29.264,     2.0950,    138.292,     22.775,  16.030343,          0
     30.265,     2.0954,    138.291,     22.776,  16.031237,          0
     31.266,     2.0954,    138.296,     22.776,  16.031805,          0
     32.267,     2.0950,    138.290,     22.777,  16.033871,          0
     33.268,     2.0943,    138.296,     22.775,  16.034514,          0
     34.264,     2.0953,    138.295,     22.775,  16.036142,          0
     35.265,     2.0947,    138.297,     22.775,  16.037505,          0
     36.266,     2.0932,    138.295,     22.776,  16.037800,          0
     37.267,     2.0922,    138.290,     22.777,  16.038201,          0
     38.268,     2.0903,    138.291,     22.777,  16.040605,          0
     39.264,     2.0886,    138.288,     22.777,  16.039927,          0
     40.265,     2.0871,    138.290,     22.777,  16.039104,          0
     41.266,     2.0863,    138.289,     22.778,  16.039598,          0
     42.267,     2.0848,    138.293,     22.776,  16.041587,          0
     43.268,     2.0837,    138.290,     22.777,  16.043065,          0
     44.264,     2.0819,    138.286,     22.779,  16.042894,          0
     45.265,     2.0814,    138.288,     22.777,  16.043854,          0
     46.266,     2.0797,    138.286,     22.777,  16.044346,          0
     47.267,     2.0791,    138.287,     22.777,  16.045378,          0
     48.268,     2.0774,    138.288,     22.778,  16.044284,          0
     49.263,     2.0764,    138.289,     22.777,  16.044716,          0
