Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,21/06/22,10:29:12,     1,  4588,   422, 1030.6, 300, 0.0, 0.0, 0.0, 61, 0.0000,  1611, 0.0,22.6, 0.0
M3,21/06/22,10:29:13,     1,  4589,   422, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1611, 0.0,22.6, 0.0
M3,21/06/22,10:29:14,     1,  4590,   421, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1610, 0.0,22.7, 0.0
M3,21/06/22,10:29:15,     1,  4591,   421, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1612, 0.0,22.7, 0.0
M3,21/06/22,10:29:16,     1,  4592,   421, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1609, 0.0,22.8, 0.0
M3,21/06/22,10:29:17,     1,  4593,   421, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1609, 0.0,22.8, 0.0
M3,21/06/22,10:29:18,     1,  4594,   420, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1608, 0.0,22.8, 0.0
M3,21/06/22,10:29:19,     1,  4595,   420, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1584, 0.0,22.8, 0.0
M3,21/06/22,10:29:20,     1,  4596,   420, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,22.9, 0.0
M3,21/06/22,10:29:21,     1,  4597,   420, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,22.9, 0.0
M3,21/06/22,10:29:22,     1,  4598,   419, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1519, 0.0,22.9, 0.0
M3,21/06/22,10:29:23,     1,  4599,   419, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.0, 0.0
M3,21/06/22,10:29:24,     1,  4600,   419, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.0, 0.0
M3,21/06/22,10:29:25,     1,  4601,   419, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.0, 0.0
M3,21/06/22,10:29:26,     1,  4602,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1521, 0.0,23.0, 0.0
M3,21/06/22,10:29:27,     1,  4603,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.0, 0.0
M3,21/06/22,10:29:28,     1,  4604,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.0, 0.0
M3,21/06/22,10:29:29,     1,  4605,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.1, 0.0
M3,21/06/22,10:29:30,     1,  4606,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1521, 0.0,23.1, 0.0
M3,21/06/22,10:29:31,     1,  4607,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.1, 0.0
M3,21/06/22,10:29:32,     1,  4608,   418, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.1, 0.0
M3,21/06/22,10:29:33,     1,  4609,   417, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1520, 0.0,23.1, 0.0
M3,21/06/22,10:29:34,     1,  4610,   417, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1521, 0.0,23.1, 0.0
M3,21/06/22,10:29:35,     1,  4611,   417, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,  1521, 0.0,23.1, 0.0
