Tag(M3),Date,Time,Plot_No,Rec_No,CO2,Pressure,Flow,H2O,Tsen,O2,Error,Aux_V,PAR,Tsoil,Tair,Msoil
M3,21/06/22,10:33:53,     1,  4867,   417, 1030.6, 300, 0.0, 0.0, 0.0, 61, 0.0000,   472, 0.0,23.9, 0.0
M3,21/06/22,10:33:54,     1,  4868,   417, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   472, 0.0,23.9, 0.0
M3,21/06/22,10:33:55,     1,  4869,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   472, 0.0,23.9, 0.0
M3,21/06/22,10:33:56,     1,  4870,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   475, 0.0,23.9, 0.0
M3,21/06/22,10:33:57,     1,  4871,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.9, 0.0
M3,21/06/22,10:33:58,     1,  4872,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:33:59,     1,  4873,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:00,     1,  4874,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.9, 0.0
M3,21/06/22,10:34:01,     1,  4875,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:02,     1,  4876,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:03,     1,  4877,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:04,     1,  4878,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:05,     1,  4879,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.9, 0.0
M3,21/06/22,10:34:06,     1,  4880,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:07,     1,  4881,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:08,     1,  4882,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:09,     1,  4883,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:10,     1,  4884,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:11,     1,  4885,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:12,     1,  4886,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:13,     1,  4887,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   484, 0.0,23.9, 0.0
M3,21/06/22,10:34:14,     1,  4888,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.9, 0.0
M3,21/06/22,10:34:15,     1,  4889,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.9, 0.0
M3,21/06/22,10:34:16,     1,  4890,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,23.9, 0.0
M3,21/06/22,10:34:17,     1,  4891,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,24.0, 0.0
M3,21/06/22,10:34:18,     1,  4892,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,24.0, 0.0
M3,21/06/22,10:34:19,     1,  4893,   416, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   483, 0.0,24.0, 0.0
M3,21/06/22,10:34:20,     1,  4894,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.9, 0.0
M3,21/06/22,10:34:21,     1,  4895,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,24.0, 0.0
M3,21/06/22,10:34:22,     1,  4896,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,24.0, 0.0
M3,21/06/22,10:34:23,     1,  4897,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,24.0, 0.0
M3,21/06/22,10:34:24,     1,  4898,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,24.0, 0.0
M3,21/06/22,10:34:25,     1,  4899,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,24.0, 0.0
M3,21/06/22,10:34:26,     1,  4900,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,24.0, 0.0
M3,21/06/22,10:34:27,     1,  4901,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,24.0, 0.0
M3,21/06/22,10:34:28,     1,  4902,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.9, 0.0
M3,21/06/22,10:34:29,     1,  4903,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,24.0, 0.0
M3,21/06/22,10:34:30,     1,  4904,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,24.0, 0.0
M3,21/06/22,10:34:31,     1,  4905,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,24.0, 0.0
M3,21/06/22,10:34:32,     1,  4906,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.9, 0.0
M3,21/06/22,10:34:33,     1,  4907,   415, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.9, 0.0
M3,21/06/22,10:34:34,     1,  4908,   414, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.9, 0.0
M3,21/06/22,10:34:35,     1,  4909,   414, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   481, 0.0,23.9, 0.0
M3,21/06/22,10:34:36,     1,  4910,   414, 1030.6, 300, 0.0, 0.0, 0.0,  0, 0.0000,   482, 0.0,23.9, 0.0
