Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-12-13 14:00:00
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670958000	168148994	12215	0	2022-12-13	14:00:00	5126.94	592.124	2079.14	40.8942	55.0005	27.6706	43.6485	0.00147483	12.2564	54.5005	-76.25	0.157707	14.6303	 17
DATA	1670958001	168148994	12219	0	2022-12-13	14:00:01	5128.29	592.419	2079.15	40.895	55.0003	27.671	43.6485	0.00147646	12.2576	54.5005	-118.25	0.157707	14.6232	233
DATA	1670958002	168148994	12223	0	2022-12-13	14:00:02	5116.9	593.127	2079.18	40.8954	55.0006	27.6706	43.6485	0.00147719	12.2579	54.5005	-117.25	0.157707	14.6275	 39
DATA	1670958003	168148994	12227	0	2022-12-13	14:00:03	5095.77	591.544	2079.37	40.895	55.0005	27.6698	43.6485	0.00147451	12.2579	54.5005	-103.25	0.157707	14.6303	 43
DATA	1670958004	168148994	12231	0	2022-12-13	14:00:04	5072	590.788	2079.2	40.8946	55.0005	27.671	43.6487	0.00146348	12.258	54.5005	-94.5	0.157707	14.6303	195
DATA	1670958005	168148994	12235	0	2022-12-13	14:00:05	5048.04	590.459	2079.06	40.8946	55.0005	27.6706	43.6487	0.00146471	12.2587	54.5005	-54.25	0.157707	14.6299	 50
DATA	1670958006	168148994	12239	0	2022-12-13	14:00:06	5024.75	590.54	2079.34	40.895	55.0005	27.6698	43.6487	0.00146713	12.2575	54.5005	-76.25	0.157707	14.6303	201
DATA	1670958007	168148994	12243	0	2022-12-13	14:00:07	5005.47	590.413	2079.51	40.8954	55.0003	27.6698	43.6485	0.00146255	12.2586	54.5005	-36	0.157707	14.6295	150
DATA	1670958008	167795896	12247	0	2022-12-13	14:00:08	4985.39	592.046	2079.15	40.8954	55.0006	27.671	43.6485	0.00146376	12.2576	54.5005	128.5	0.157707	14.6291	228
DATA	1670958009	167795896	12251	0	2022-12-13	14:00:09	4967.62	594.538	2078.98	40.895	55.0005	27.6718	43.6485	0.00146283	12.2577	54.5005	-80.5	0.157707	14.6287	239
DATA	1670958010	167795896	12255	0	2022-12-13	14:00:10	4955.57	592.67	2079.2	40.895	55.0006	27.6718	43.6485	0.00146109	12.2581	54.5005	-63	0.157707	14.6287	  8
DATA	1670958011	167795896	12259	0	2022-12-13	14:00:11	4947.87	594.031	2079.19	40.8946	55.0005	27.6726	43.6485	0.00145603	12.2574	54.5005	-32	0.157707	14.6287	162
DATA	1670958012	167795896	12263	0	2022-12-13	14:00:12	4942.37	593.712	2078.94	40.8954	55.0005	27.6722	43.6487	0.00145733	12.2582	54.5005	-117.75	0.157707	14.6291	101
DATA	1670958013	167795896	12267	0	2022-12-13	14:00:13	4940.73	594.86	2079.13	40.8946	55.0006	27.6718	43.6487	0.00145316	12.258	54.5005	-38.5	0.157707	14.6287	168
DATA	1670958014	167795896	12271	0	2022-12-13	14:00:14	4940.45	595.323	2079.39	40.895	55.0006	27.6722	43.6488	0.00146384	12.2589	54.5005	-52	0.157707	14.6283	114
DATA	1670958015	167435884	12275	0	2022-12-13	14:00:15	4943.75	594.542	2078.94	40.895	55.0006	27.6714	43.6485	0.00145981	12.2591	54.5005	-122.25	0.157707	14.6279	 53
DATA	1670958016	167435884	12279	0	2022-12-13	14:00:16	4953.24	595.143	2079.26	40.8946	55.0006	27.6714	43.6485	0.00146231	12.2585	54.5005	-162.75	0.157707	14.6279	102
DATA	1670958017	167435884	12283	0	2022-12-13	14:00:17	4968.18	596.426	2078.82	40.8958	55.0006	27.6718	43.6485	0.00146388	12.2582	54.5005	-99.75	0.157707	14.6283	 87
