Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-12-15 12:00:00
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1671123600	131433010	10971	0	2022-12-15	12:00:00	6003.11	473.236	2061.9	39.4545	55.0018	25.2514	43.6586	0.00164227	12.2599	54.4998	-233	0.168166	15.7798	108
DATA	1671123601	131433010	10975	0	2022-12-15	12:00:01	6002.91	475.279	2062.37	39.4537	55.0018	25.2494	43.6586	0.00163904	12.2577	54.4998	-287	0.168166	15.7747	188
DATA	1671123602	131433010	10979	0	2022-12-15	12:00:02	6003.61	475.398	2062.08	39.4549	55.0018	25.2461	43.6587	0.00164265	12.2583	54.4998	-126.75	0.168166	15.7771	 75
DATA	1671123603	131433010	10983	0	2022-12-15	12:00:03	6003.39	479.22	2061.79	39.4541	55.0018	25.2457	43.6586	0.00164206	12.2579	54.4998	-138.5	0.168166	15.7794	229
DATA	1671123604	131073951	10987	0	2022-12-15	12:00:04	6003.68	480.074	2062.45	39.4533	55.0018	25.244	43.6586	0.00163965	12.2593	54.4998	-311.25	0.168166	15.7806	 25
DATA	1671123605	131073951	10991	0	2022-12-15	12:00:05	6003.2	482.65	2062.16	39.4549	55.0014	25.2408	43.6586	0.00164363	12.2575	54.4998	-275.5	0.168166	15.7798	187
DATA	1671123606	131073951	10995	0	2022-12-15	12:00:06	6004.51	486.615	2062.59	39.4537	55.001	25.2387	43.6587	0.00164398	12.2599	54.4998	-278.5	0.168166	15.7794	 15
DATA	1671123607	131073951	10999	0	2022-12-15	12:00:07	6005.28	488.851	2062.46	39.4545	55.001	25.2375	43.6584	0.00164363	12.258	54.4998	-141.5	0.168166	15.779	146
DATA	1671123608	131073951	11003	0	2022-12-15	12:00:08	6007.64	488.748	2062.41	39.4537	55.001	25.2371	43.6582	0.00164775	12.2591	54.4998	-194	0.167605	15.7794	137
DATA	1671123609	131073951	11007	0	2022-12-15	12:00:09	6007.3	489.491	2062.27	39.4537	55.0003	25.2379	43.6578	0.00165006	12.2578	54.4998	-172	0.167419	15.7794	143
DATA	1671123610	131073951	11011	0	2022-12-15	12:00:10	6010.04	487.436	2062.23	39.4545	55.0003	25.2367	43.6578	0.00164477	12.26	54.4998	-267.75	0.167419	15.7794	214
DATA	1671123611	130712985	11015	0	2022-12-15	12:00:11	6009.51	486.411	2062.11	39.4541	55.0003	25.2346	43.6578	0.00163657	12.2571	54.4998	-203.75	0.167419	15.7794	 54
DATA	1671123612	130712985	11019	0	2022-12-15	12:00:12	6011.31	486.287	2062.31	39.4545	55.0003	25.235	43.6578	0.00164228	12.2602	54.4998	-349.75	0.167419	15.7798	 20
DATA	1671123613	130712985	11023	0	2022-12-15	12:00:13	6010.29	485.709	2062.1	39.4553	55.0003	25.233	43.6578	0.00164394	12.2575	54.4998	-250.5	0.167419	15.7794	168
DATA	1671123614	130712985	11027	0	2022-12-15	12:00:14	6010.89	483.163	2061.97	39.4561	55.0003	25.2334	43.658	0.00164411	12.2598	54.4998	-198.25	0.167419	15.7786	 31
DATA	1671123615	130712985	11031	0	2022-12-15	12:00:15	6009.62	483.109	2062.09	39.4561	54.9999	25.2322	43.658	0.00163904	12.257	54.4998	-98.75	0.167419	15.7779	212
DATA	1671123616	130712985	11035	0	2022-12-15	12:00:16	6009.88	483.079	2062.24	39.4557	54.9995	25.2338	43.658	0.00163576	12.259	54.4998	-122.75	0.167419	15.7782	 18
DATA	1671123617	130712985	11039	0	2022-12-15	12:00:17	6009.13	482.007	2061.96	39.4561	54.9995	25.233	43.6578	0.00163451	12.2572	54.5002	-44.75	0.167419	15.7782	232
DATA	1671123618	130712985	11043	0	2022-12-15	12:00:18	6007.52	483.268	2062.21	39.4557	54.9995	25.2346	43.6578	0.00164401	12.259	54.5004	-78.75	0.167419	15.7782	246
DATA	1671123619	130354881	11047	0	2022-12-15	12:00:19	6007.77	483.701	2061.95	39.4561	54.9995	25.2334	43.6578	0.00163166	12.2577	54.5005	-365.25	0.167419	15.7779	103
DATA	1671123620	130354881	11051	0	2022-12-15	12:00:20	6008.83	482.222	2062.22	39.4557	54.9995	25.2322	43.6578	0.00164787	12.2591	54.5005	-28	0.167419	15.7782	125
DATA	1671123621	130354881	11055	0	2022-12-15	12:00:21	6008.49	483.968	2062.05	39.4565	54.9995	25.2301	43.6578	0.00164059	12.2583	54.5005	-189	0.167419	15.7779	203
DATA	1671123622	130354881	11059	0	2022-12-15	12:00:22	6008.84	484.565	2062.21	39.4565	54.9995	25.2281	43.6578	0.00163408	12.2592	54.5005	-262.5	0.167419	15.7775	 35
DATA	1671123623	130354881	11063	0	2022-12-15	12:00:23	6008.25	488.803	2062.15	39.4557	54.9995	25.2268	43.6582	0.00164196	12.2576	54.5005	-232.5	0.167419	15.7779	 38
DATA	1671123624	130354881	11067	0	2022-12-15	12:00:24	6008.99	488.549	2062.59	39.4565	54.9995	25.2248	43.658	0.00163704	12.2587	54.5005	-271.5	0.167419	15.7775	 12
DATA	1671123625	130354881	11071	0	2022-12-15	12:00:25	6010.62	488.479	2062.57	39.4561	54.9995	25.224	43.658	0.00163817	12.2574	54.5005	-302.5	0.167419	15.7775	184
DATA	1671123626	129998922	11075	0	2022-12-15	12:00:26	6012.78	486.703	2062.67	39.4553	54.9995	25.2227	43.6578	0.00163709	12.2587	54.5005	-239.25	0.167419	15.7779	126
DATA	1671123627	129998922	11079	0	2022-12-15	12:00:27	6013.01	485.724	2062.59	39.4557	54.9995	25.2236	43.6578	0.00165281	12.2586	54.5005	-256.5	0.167045	15.7779	 66
DATA	1671123628	129998922	11083	0	2022-12-15	12:00:28	6013.82	485.697	2062.38	39.4557	54.9995	25.2219	43.6571	0.00164267	12.2585	54.5005	-155	0.166672	15.7779	234
DATA	1671123629	129998922	11087	0	2022-12-15	12:00:29	6014.36	483.554	2062.55	39.4561	54.9999	25.2199	43.6574	0.00163888	12.2574	54.5005	-245.5	0.166672	15.7779	 87
DATA	1671123630	129998922	11091	0	2022-12-15	12:00:30	6016.99	483.814	2062.46	39.4565	55.0001	25.2195	43.6572	0.00163395	12.2598	54.5005	34.5	0.166672	15.7771	190
DATA	1671123631	129998922	11095	0	2022-12-15	12:00:31	6016.27	483.847	2062.44	39.4557	55.0003	25.2186	43.6574	0.00164116	12.2585	54.5005	-65.75	0.166672	15.7771	 32
DATA	1671123632	129998922	11099	0	2022-12-15	12:00:32	6017.04	485.678	2062.63	39.4561	55.0003	25.2186	43.6574	0.00164322	12.2601	54.5005	-347.25	0.166672	15.7767	 73
DATA	1671123633	129998922	11103	0	2022-12-15	12:00:33	6016.81	487.656	2062.39	39.4557	55.0003	25.2154	43.6574	0.00164377	12.2576	54.5005	-162	0.166672	15.7771	184
DATA	1671123634	129652976	11107	0	2022-12-15	12:00:34	6017.48	485.91	2062.17	39.4561	55.0003	25.2129	43.6571	0.00163373	12.2594	54.5005	-186.25	0.166672	15.7763	 18
DATA	1671123635	129652976	11111	0	2022-12-15	12:00:35	6017.32	485.042	2062.49	39.4553	55.0003	25.2133	43.6571	0.00163496	12.2566	54.5009	-307.5	0.166672	15.7763	  7
DATA	1671123636	129652976	11115	0	2022-12-15	12:00:36	6017.96	483.662	2062.47	39.4549	55.0003	25.2105	43.6571	0.00163999	12.2597	54.5011	-170.25	0.166672	15.7802	 78
DATA	1671123637	129652976	11119	0	2022-12-15	12:00:37	6018.51	483.818	2062.29	39.4557	55.0003	25.208	43.6571	0.00164005	12.2582	54.5013	-224.25	0.166672	15.7853	 13
DATA	1671123638	129652976	11123	0	2022-12-15	12:00:38	6018.78	484.253	2062.19	39.4553	55.0003	25.2072	43.6571	0.00164607	12.2578	54.5013	-170	0.166672	15.7857	181
DATA	1671123639	129652976	11127	0	2022-12-15	12:00:39	6016.18	483.469	2062.32	39.4565	55.0003	25.206	43.6569	0.00163391	12.258	54.5013	-78.75	0.166672	15.7853	194
DATA	1671123640	129652976	11131	0	2022-12-15	12:00:40	6016.25	481.577	2062.37	39.4578	55.0003	25.2068	43.6574	0.00163264	12.2577	54.5005	-41.25	0.166672	15.7857	 17
DATA	1671123641	129293918	11135	0	2022-12-15	12:00:41	6014.41	480.484	2061.94	39.4569	55.0003	25.2072	43.6571	0.00164287	12.2579	54.5005	-221.25	0.166672	15.7822	 54
DATA	1671123642	129293918	11139	0	2022-12-15	12:00:42	6015.35	478.922	2062.18	39.4569	55.0003	25.2076	43.6572	0.00163796	12.2581	54.5005	-15.25	0.166672	15.7771	 23
DATA	1671123643	129293918	11143	0	2022-12-15	12:00:43	6015.35	477.832	2062.03	39.4573	55.0003	25.21	43.6572	0.0016445	12.2584	54.5002	-149.75	0.166672	15.7779	165
DATA	1671123644	129293918	11147	0	2022-12-15	12:00:44	6018.54	477.653	2062.28	39.4565	55.0003	25.2088	43.6571	0.00163698	12.2578	54.4998	-143.75	0.166672	15.7779	119
DATA	1671123645	129293918	11151	0	2022-12-15	12:00:45	6016.91	477.3	2062.33	39.4573	55.0003	25.2068	43.6571	0.0016408	12.2583	54.4998	-173.5	0.166672	15.7779	139
DATA	1671123646	129293918	11155	0	2022-12-15	12:00:46	6017.84	476.133	2062.33	39.4573	55.0003	25.206	43.6571	0.00164155	12.2578	54.4998	-216.25	0.166672	15.7779	 38
DATA	1671123647	129293918	11159	0	2022-12-15	12:00:47	6017.85	478.158	2062.36	39.4569	55.0003	25.2064	43.6571	0.0016476	12.2589	54.4998	-130.5	0.166672	15.7767	 12
DATA	1671123648	129293918	11163	0	2022-12-15	12:00:48	6017.14	479.666	2062.27	39.459	55.0003	25.2068	43.6571	0.00163936	12.2591	54.4998	-106.75	0.166672	15.7755	 56
DATA	1671123649	128937005	11167	0	2022-12-15	12:00:49	6016.46	479.064	2062.29	39.459	55.0003	25.2068	43.6572	0.00162827	12.2577	54.4998	-13	0.166672	15.7763	104
DATA	1671123650	128937005	11171	0	2022-12-15	12:00:50	6016.83	479.361	2062.5	39.4594	55.0003	25.2055	43.6572	0.00162831	12.2581	54.4998	-96.25	0.166672	15.7759	233
DATA	1671123651	128937005	11175	0	2022-12-15	12:00:51	6017.77	479.334	2062.46	39.4598	55.0003	25.206	43.6571	0.00162846	12.2591	54.4998	-107.25	0.166672	15.7759	 39
DATA	1671123652	128937005	11179	0	2022-12-15	12:00:52	6016.78	480.464	2062.29	39.4586	55.0003	25.2051	43.6574	0.00164498	12.2585	54.4998	-71.75	0.166672	15.7759	 55
DATA	1671123653	128937005	11183	0	2022-12-15	12:00:53	6016.67	485.654	2062.79	39.4598	55.0003	25.2064	43.6571	0.00164437	12.2587	54.4998	-134.75	0.166672	15.7763	103
DATA	1671123654	128937005	11187	0	2022-12-15	12:00:54	6017.51	492.471	2062.75	39.459	55.0003	25.2047	43.6565	0.00163898	12.2577	54.4998	-237.5	0.165925	15.7759	  5
DATA	1671123655	128937005	11191	0	2022-12-15	12:00:55	6018.91	492.823	2062.75	39.459	55.0005	25.206	43.6561	0.00162855	12.2578	54.4998	-303.75	0.165925	15.7759	251
DATA	1671123656	128577947	11195	0	2022-12-15	12:00:56	6018.68	491.649	2062.72	39.4586	55.001	25.2043	43.6561	0.00163232	12.2589	54.4998	-114.25	0.165925	15.7755	 55
DATA	1671123657	128577947	11199	0	2022-12-15	12:00:57	6020.05	493.293	2062.55	39.4598	55.001	25.2051	43.6565	0.00163046	12.2577	54.4998	-235.5	0.165925	15.7755	  3
DATA	1671123658	128577947	11203	0	2022-12-15	12:00:58	6019.51	494.519	2062.23	39.459	55.001	25.2019	43.6563	0.00163416	12.2583	54.4998	-238.75	0.165925	15.7751	251
DATA	1671123659	128577947	11207	0	2022-12-15	12:00:59	6021.41	492.828	2062.04	39.4594	55.001	25.201	43.6563	0.00163307	12.2585	54.4998	-118	0.165925	15.7759	 96
DATA	1671123660	128577947	11211	0	2022-12-15	12:01:00	6020.55	490.519	2062.21	39.4586	55.001	25.2002	43.6563	0.00163424	12.2575	54.4998	-215.5	0.165925	15.7755	210
DATA	1671123661	128577947	11215	0	2022-12-15	12:01:01	6020.02	486.998	2062.39	39.4586	55.001	25.1969	43.6563	0.00163699	12.2583	54.4998	-274.25	0.165925	15.7751	 62
DATA	1671123662	128577947	11219	0	2022-12-15	12:01:02	6019.16	483.902	2062.46	39.4586	55.001	25.1965	43.6563	0.00162678	12.258	54.4998	-125	0.165925	15.7759	112
DATA	1671123663	128577947	11223	0	2022-12-15	12:01:03	6017.83	482.572	2062.33	39.4594	55.001	25.1978	43.6563	0.00163557	12.2578	54.4998	-16.5	0.165925	15.7759	214
DATA	1671123664	128222942	11227	0	2022-12-15	12:01:04	6016.17	481.821	2062.41	39.459	55.001	25.1965	43.6563	0.00163503	12.2583	54.4998	-278	0.165925	15.7751	 75
DATA	1671123665	128222942	11231	0	2022-12-15	12:01:05	6016.87	481.354	2062.32	39.4598	55.001	25.1953	43.6561	0.00163638	12.258	54.4998	-222.25	0.165925	15.7747	232
DATA	1671123666	128222942	11235	0	2022-12-15	12:01:06	6014.35	480.448	2062.11	39.459	55.001	25.1949	43.6559	0.00163961	12.2577	54.4998	-153	0.165925	15.7747	 92
DATA	1671123667	128222942	11239	0	2022-12-15	12:01:07	6015.23	478.582	2062.15	39.4594	55.001	25.1945	43.6563	0.00163503	12.2584	54.4998	-240	0.165925	15.7743	132
DATA	1671123668	128222942	11243	0	2022-12-15	12:01:08	6014.67	479.309	2062.33	39.4586	55.001	25.1937	43.6563	0.00164067	12.2578	54.4998	-75.75	0.165925	15.7743	  1
