Model:	LI-7810
SN:	TG10-01071
Software Version:	2.1.35
Timestamp:	2022-11-09 15:36:42
Timezone:	Canada/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668026202	66781997	27	256	""	2022-11-09	15:36:42	nan	nan	nan	89.8731	21.2827	90.4022	24.8334	0	0	21.3759	-12000	0	16.1447	 59
DATA	1668026203	66740036	31	256	""	2022-11-09	15:36:43	nan	nan	nan	90.1425	21.2827	90.7064	34.2267	0	0	21.3769	-16000	0	15.861	240
DATA	1668026204	66694021	35	256	""	2022-11-09	15:36:44	nan	nan	nan	90.5232	21.2827	91.0834	41.0322	0	0	21.3805	-16000	0	15.8638	 28
DATA	1668026205	66659927	39	256	""	2022-11-09	15:36:45	nan	nan	nan	90.8949	21.2832	91.4551	45.7462	0	0	21.3867	-16000	0	15.8697	 93
DATA	1668026206	66644906	43	256	""	2022-11-09	15:36:46	nan	nan	nan	91.2972	21.2841	91.8574	46.7962	0	0	21.3962	-16000	0	15.8775	 80
DATA	1668026207	66644906	47	256	""	2022-11-09	15:36:47	nan	nan	nan	91.6995	21.2855	92.2593	46.9648	0	0	21.4083	-16000	0	15.8795	 96
DATA	1668026208	66644906	51	256	""	2022-11-09	15:36:48	nan	nan	nan	92.1018	21.2876	92.6624	47.0392	0	0	21.4212	-16000	0	15.8818	 55
DATA	1668026209	66644906	55	256	""	2022-11-09	15:36:49	nan	nan	nan	92.5069	21.2898	93.0687	47.0813	0	0	21.4353	-16000	0	15.883	 29
DATA	1668026210	66644906	59	256	""	2022-11-09	15:36:50	nan	nan	nan	92.9153	21.2923	93.4772	47.1094	0	0	21.4502	-16000	0	15.8838	 57
DATA	1668026211	66644906	63	256	""	2022-11-09	15:36:51	nan	nan	nan	93.3274	21.2946	93.8913	47.1286	0	0	21.4656	-16000	0	15.883	 16
DATA	1668026212	66644906	67	256	""	2022-11-09	15:36:52	nan	nan	nan	93.7444	21.2972	94.3079	47.1424	0	0	21.4818	-16000	0	15.8826	 70
DATA	1668026213	66339015	71	256	""	2022-11-09	15:36:53	nan	nan	nan	94.13	21.2997	94.6963	47.1523	0	0	21.4972	-16000	0	15.8822	214
DATA	1668026214	66339015	75	256	""	2022-11-09	15:36:54	nan	nan	nan	94.5567	21.3025	95.1222	47.16	0	0	21.514	-16000	0	15.881	 91
DATA	1668026215	66339015	79	256	""	2022-11-09	15:36:55	nan	nan	nan	94.9856	21.3054	95.5523	47.1661	0	0	21.5313	-16000	0	15.881	  9
DATA	1668026216	66339015	83	256	""	2022-11-09	15:36:56	nan	nan	nan	95.4156	21.3082	95.9852	47.1705	0	0	21.549	-16000	0	15.8806	 15
DATA	1668026217	66339015	87	256	""	2022-11-09	15:36:57	nan	nan	nan	95.8481	21.3109	96.4169	47.1738	0	0	21.567	-16000	0	15.8689	 38
DATA	1668026218	66339015	91	256	""	2022-11-09	15:36:58	nan	nan	nan	96.2757	21.3137	96.8412	47.1762	0	0	21.5852	-16000	0	15.8693	 74
DATA	1668026219	66339015	95	256	""	2022-11-09	15:36:59	nan	nan	nan	96.6894	21.3165	97.2533	47.1782	0	0	21.6034	-16000	0	15.8697	 85
DATA	1668026220	66339015	99	256	""	2022-11-09	15:37:00	nan	nan	nan	97.0852	21.3195	97.647	47.1797	0	0	21.6221	-16000	0	15.8657	 16
DATA	1668026221	66049098	103	256	""	2022-11-09	15:37:01	nan	nan	nan	97.4418	21.3218	97.9983	47.181	0	0	21.6401	-16000	0	15.8646	 55
DATA	1668026222	66049098	107	256	""	2022-11-09	15:37:02	nan	nan	nan	97.7665	21.3242	98.3202	47.1817	0	0	21.6588	-16000	0	15.8693	117
DATA	1668026223	66049098	111	256	""	2022-11-09	15:37:03	nan	nan	nan	98.1023	21.3272	98.6609	47.1821	0	0	21.6785	-16000	0	15.8657	108
DATA	1668026224	66049098	115	256	""	2022-11-09	15:37:04	nan	nan	nan	98.3761	21.3302	98.8984	47.1827	0	0	21.6979	-16000	0	15.8618	135
DATA	1668026225	66049098	119	256	""	2022-11-09	15:37:05	nan	nan	nan	98.4026	21.3334	98.9069	47.1834	0	0	21.7173	-16000	0	15.8606	118
DATA	1668026226	66049098	123	256	""	2022-11-09	15:37:06	nan	nan	nan	98.4026	21.3364	98.9061	47.1839	0	0	21.7369	-16000	0	15.8626	124
DATA	1668026227	66049098	127	256	""	2022-11-09	15:37:07	nan	nan	nan	98.4026	21.3396	98.9065	47.1847	0	0	21.7564	-16000	0	15.863	 82
DATA	1668026228	65743923	131	256	""	2022-11-09	15:37:08	nan	nan	nan	98.401	21.3426	98.9069	47.1849	0	0	21.7762	-16000	0	15.8681	 75
DATA	1668026229	65743923	135	256	""	2022-11-09	15:37:09	nan	nan	nan	98.4022	21.3452	98.9061	47.1856	0	0	21.7962	-16000	0	15.8669	129
DATA	1668026230	65743923	139	256	""	2022-11-09	15:37:10	nan	nan	nan	98.4026	21.3481	98.9069	47.186	0	0	21.8145	-16000	0	15.8622	 61
DATA	1668026231	65743923	143	256	""	2022-11-09	15:37:11	nan	nan	nan	98.4026	21.3514	98.9069	47.1863	0	0	21.8344	-16000	0	15.861	 56
DATA	1668026232	65743923	147	256	""	2022-11-09	15:37:12	nan	nan	nan	98.4022	21.3548	98.9057	47.1867	0	0	21.8555	-16000	0	15.8595	130
DATA	1668026233	65743923	151	256	""	2022-11-09	15:37:13	nan	nan	nan	98.403	21.3583	98.9057	47.1871	0	0	21.8752	-16000	0	15.8579	 73
DATA	1668026234	65743923	155	256	""	2022-11-09	15:37:14	nan	nan	nan	98.4022	21.3621	98.9045	47.1878	0	0	21.8956	-16000	0	15.8563	124
DATA	1668026235	65743923	159	256	""	2022-11-09	15:37:15	nan	nan	nan	98.4018	21.3654	98.9049	47.1878	0	0	21.9155	-16000	0	15.8551	134
DATA	1668026236	65439939	163	256	""	2022-11-09	15:37:16	nan	nan	nan	98.401	21.3684	98.9049	47.1885	0	0	21.9359	-16000	0	15.854	 41
DATA	1668026237	65439939	167	256	""	2022-11-09	15:37:17	nan	nan	nan	98.401	21.372	98.9057	47.1885	0	0	21.9564	-16000	0	15.8536	 40
DATA	1668026238	65439939	171	256	""	2022-11-09	15:37:18	nan	nan	nan	98.4018	21.3759	98.9053	47.1893	0	0	21.9759	-16000	0	15.8555	155
DATA	1668026239	65439939	175	256	""	2022-11-09	15:37:19	nan	nan	nan	98.4014	21.3794	98.9049	47.1893	0	0	21.9954	-16000	0	15.8544	156
DATA	1668026240	65439939	179	256	""	2022-11-09	15:37:20	nan	nan	nan	98.401	21.3837	98.9061	47.19	0	0	22.0154	-16000	0	15.8524	215
DATA	1668026241	65439939	183	256	""	2022-11-09	15:37:21	nan	nan	nan	98.4022	21.3874	98.9049	47.19	0	0	22.0368	-16000	0	15.8524	 21
DATA	1668026242	65439939	187	256	""	2022-11-09	15:37:22	nan	nan	nan	98.4014	21.3909	98.9045	47.1907	0	0	22.0569	-16000	0	15.8508	131
DATA	1668026243	65134048	191	256	""	2022-11-09	15:37:23	nan	nan	nan	98.4026	21.395	98.9045	47.1907	0	0	22.0772	-16000	0	15.85	210
DATA	1668026244	65134048	195	256	""	2022-11-09	15:37:24	nan	nan	nan	98.4018	21.3992	98.9049	47.1915	0	0	22.0977	-16000	0	15.8489	137
DATA	1668026245	65134048	199	256	""	2022-11-09	15:37:25	nan	nan	nan	98.4018	21.4037	98.9041	47.1917	0	0	22.1181	-16000	0	15.8481	108
DATA	1668026246	65134048	203	256	""	2022-11-09	15:37:26	nan	nan	nan	98.4014	21.4084	98.9049	47.1922	0	0	22.1384	-16000	0	15.8481	103
DATA	1668026247	65134048	207	256	""	2022-11-09	15:37:27	nan	nan	nan	98.401	21.412	98.9045	47.1922	0	0	22.1571	-16000	0	15.8442	247
DATA	1668026248	65134048	211	256	""	2022-11-09	15:37:28	nan	nan	nan	98.4022	21.4159	98.9037	47.193	0	0	22.1775	-16000	0	15.8434	 58
DATA	1668026249	65134048	215	256	""	2022-11-09	15:37:29	nan	nan	nan	98.4014	21.4208	98.9037	47.193	0	0	22.1981	-16000	0	15.8422	 56
DATA	1668026250	65134048	219	256	""	2022-11-09	15:37:30	nan	nan	nan	98.4018	21.4256	98.9041	47.1937	0	0	22.219	-16000	0	15.8406	 48
DATA	1668026251	64826965	223	256	""	2022-11-09	15:37:31	nan	nan	nan	98.4022	21.4304	98.9045	47.1937	0	0	22.2394	-16000	0	15.8398	117
DATA	1668026252	64826965	227	256	""	2022-11-09	15:37:32	nan	nan	nan	98.403	21.435	98.9061	47.1944	0	0	22.2597	-16000	0	15.8387	 26
DATA	1668026253	64826965	231	256	""	2022-11-09	15:37:33	nan	nan	nan	98.4038	21.4396	98.9053	47.1944	0	0	22.28	-16000	0	15.8379	 30
DATA	1668026254	64826965	235	256	""	2022-11-09	15:37:34	nan	nan	nan	98.4038	21.4445	98.9061	47.1952	0	0	22.3003	-16000	0	15.8367	118
DATA	1668026254	814826965	238	256	""	2022-11-09	15:37:34	nan	nan	nan	98.403	21.4495	98.9049	47.1952	0	0	22.3197	-16000	0	15.8383	139
DATA	1668026256	64826965	243	256	""	2022-11-09	15:37:36	nan	nan	nan	98.4047	21.4546	98.9061	47.1957	0	0	22.3393	-16000	0	15.8104	129
DATA	1668026257	64826965	247	256	""	2022-11-09	15:37:37	nan	nan	nan	98.4051	21.4604	98.9057	47.1959	0	0	22.3598	-16000	0	15.7939	154
DATA	1668026257	564526081	249	256	""	2022-11-09	15:37:37	nan	nan	nan	98.4051	21.4689	98.9061	47.1959	0	0	22.3806	-16000	0	15.7924	189
DATA	1668026259	64526081	255	256	""	2022-11-09	15:37:39	nan	nan	nan	98.4055	21.4801	98.9053	47.1966	0	0	22.4017	-16000	0	15.7975	127
DATA	1668026259	814526081	258	256	""	2022-11-09	15:37:39	nan	nan	nan	98.4055	21.4937	98.9065	47.1966	0	0	22.4221	-16000	0	15.7908	187
DATA	1668026260	814526081	262	256	""	2022-11-09	15:37:40	nan	nan	nan	98.4055	21.5096	98.9061	47.1972	0	0	22.4424	-16000	0	15.7951	159
DATA	1668026262	64526081	267	256	""	2022-11-09	15:37:42	nan	nan	nan	98.4051	21.5282	98.9053	47.1974	0	0	22.4626	-16000	0	15.7896	125
DATA	1668026263	64526081	271	256	""	2022-11-09	15:37:43	nan	nan	nan	98.4051	21.5472	98.9049	47.1979	0	0	22.4825	-16000	0	15.7865	130
DATA	1668026264	64526081	275	256	""	2022-11-09	15:37:44	nan	nan	nan	98.4051	21.5679	98.9049	47.1981	0	0	22.5023	-16000	0	15.7833	124
DATA	1668026265	64526081	279	256	""	2022-11-09	15:37:45	nan	nan	nan	98.4047	21.5908	98.9057	47.1983	0	0	22.5225	-16000	0	15.7826	137
DATA	1668026266	64203977	283	256	""	2022-11-09	15:37:46	nan	nan	nan	98.4051	21.6145	98.9053	47.1988	0	0	22.5432	-16000	0	15.7814	127
DATA	1668026267	64203977	287	256	""	2022-11-09	15:37:47	nan	nan	nan	98.4051	21.6388	98.9057	47.1988	0	0	22.5643	-16000	0	15.7814	150
DATA	1668026267	814203977	290	256	""	2022-11-09	15:37:47	nan	nan	nan	98.4051	21.6648	98.9041	47.1996	0	0	22.5854	-16000	0	15.7806	191
DATA	1668026268	814203977	294	256	""	2022-11-09	15:37:48	nan	nan	nan	98.4047	21.6905	98.9053	47.1996	0	0	22.6058	-16000	0	15.7888	208
DATA	1668026270	64203977	299	256	""	2022-11-09	15:37:50	nan	nan	nan	98.4047	21.7166	98.9045	47.2003	0	0	22.6267	-16000	0	15.7794	127
DATA	1668026271	64203977	303	256	""	2022-11-09	15:37:51	nan	nan	nan	98.4059	21.7429	98.9049	47.2003	0	0	22.6469	-16000	0	15.7786	129
DATA	1668026272	64203977	307	256	""	2022-11-09	15:37:52	nan	nan	nan	98.4043	21.7684	98.9041	47.2009	0	0	22.6671	-16000	0	15.7806	117
DATA	1668026273	63904047	311	256	""	2022-11-09	15:37:53	nan	nan	nan	98.4055	21.7939	98.9041	47.201	0	0	22.6868	-16000	0	15.7798	 77
DATA	1668026274	63904047	315	256	""	2022-11-09	15:37:54	nan	nan	nan	98.4043	21.8205	98.9041	47.2016	0	0	22.7073	-16000	0	15.779	 54
DATA	1668026275	63904047	319	256	""	2022-11-09	15:37:55	nan	nan	nan	98.4051	21.8481	98.9033	47.2018	0	0	22.7282	-16000	0	15.7775	121
DATA	1668026276	63904047	323	256	""	2022-11-09	15:37:56	nan	nan	nan	98.4038	21.8749	98.9033	47.2023	0	0	22.7496	-16000	0	15.7763	130
DATA	1668026277	63904047	327	256	""	2022-11-09	15:37:57	nan	nan	nan	98.4038	21.9016	98.9033	47.2025	0	0	22.7703	-16000	0	15.7755	118
DATA	1668026278	63904047	331	256	""	2022-11-09	15:37:58	nan	nan	nan	98.4038	21.9285	98.9037	47.2031	0	0	22.791	-16000	0	15.7751	 72
DATA	1668026279	63904047	335	256	""	2022-11-09	15:37:59	nan	nan	nan	98.4051	21.955	98.9033	47.2033	0	0	22.8117	-16000	0	15.7747	 71
DATA	1668026280	63904047	339	256	""	2022-11-09	15:38:00	nan	nan	nan	98.4043	21.9805	98.9024	47.2038	0	0	22.8313	-16000	0	15.7704	102
DATA	1668026281	63595056	343	256	""	2022-11-09	15:38:01	nan	nan	nan	98.4051	22.006	98.9033	47.204	0	0	22.8513	-16000	0	15.7684	251
DATA	1668026281	813595056	346	256	""	2022-11-09	15:38:01	nan	nan	nan	98.4038	22.0332	98.9024	47.2044	0	0	22.8719	-16000	0	15.768	112
DATA	1668026283	63595056	351	256	""	2022-11-09	15:38:03	nan	nan	nan	98.4043	22.0593	98.9024	47.2047	0	0	22.8924	-16000	0	15.7747	119
DATA	1668026284	63595056	355	256	""	2022-11-09	15:38:04	nan	nan	nan	98.4038	22.0853	98.9024	47.2049	0	0	22.9136	-16000	0	15.7661	121
DATA	1668026285	63595056	359	256	""	2022-11-09	15:38:05	nan	nan	nan	98.4047	22.1116	98.9028	47.2055	0	0	22.9341	-16000	0	15.7637	122
DATA	1668026286	63595056	363	256	""	2022-11-09	15:38:06	nan	nan	nan	98.4047	22.1373	98.9024	47.2055	0	0	22.9551	-16000	0	15.7641	118
DATA	1668026287	63595056	367	256	""	2022-11-09	15:38:07	nan	nan	nan	98.4055	22.1629	98.9028	47.2055	0	0	22.9755	-16000	0	15.7633	138
DATA	1668026288	63293933	371	256	""	2022-11-09	15:38:08	nan	nan	nan	98.4043	22.1887	98.9024	47.2056	0	0	22.9962	-16000	0	15.7629	139
DATA	1668026289	63293933	375	256	""	2022-11-09	15:38:09	nan	nan	nan	98.4047	22.2137	98.9033	47.2062	0	0	23.0159	-16000	0	15.7649	127
DATA	1668026290	63293933	379	256	""	2022-11-09	15:38:10	nan	nan	nan	98.4051	22.2377	98.9037	47.2064	0	0	23.0355	-16000	0	15.7641	112
DATA	1668026291	63293933	383	256	""	2022-11-09	15:38:11	nan	nan	nan	98.4047	22.2631	98.9024	47.2069	0	0	23.0561	-16000	0	15.7637	112
DATA	1668026291	813293933	386	256	""	2022-11-09	15:38:11	nan	nan	nan	98.4038	22.2883	98.9033	47.2071	0	0	23.0766	-16000	0	15.7618	174
DATA	1668026293	63293933	391	256	""	2022-11-09	15:38:13	nan	nan	nan	98.4047	22.3131	98.9016	47.2077	0	0	23.0977	-16000	0	15.7665	123
DATA	1668026294	63293933	395	256	""	2022-11-09	15:38:14	nan	nan	nan	98.4043	22.3379	98.9016	47.2079	0	0	23.1187	-16000	0	15.7629	135
DATA	1668026295	63293933	399	256	""	2022-11-09	15:38:15	nan	nan	nan	98.4034	22.3627	98.902	47.2084	0	0	23.1389	-16000	0	15.7622	 77
DATA	1668026296	62968969	403	256	""	2022-11-09	15:38:16	nan	nan	nan	98.4038	22.3877	98.9012	47.2086	0	0	23.1597	-16000	0	15.7622	145
DATA	1668026297	62968969	407	256	""	2022-11-09	15:38:17	nan	nan	nan	98.4051	22.4113	98.9028	47.2091	0	0	23.1791	-16000	0	15.7586	138
DATA	1668026298	62968969	411	256	""	2022-11-09	15:38:18	nan	nan	nan	98.403	22.4345	98.902	47.2095	0	0	23.199	-16000	0	15.7571	242
DATA	1668026299	62968969	415	256	""	2022-11-09	15:38:19	nan	nan	nan	98.4047	22.459	98.9028	47.2099	0	0	23.2192	-16000	0	15.7555	107
DATA	1668026300	62968969	419	256	""	2022-11-09	15:38:20	nan	nan	nan	98.4051	22.4829	98.9008	47.2104	0	0	23.24	-16000	0	15.7539	 17
DATA	1668026300	812968969	422	256	""	2022-11-09	15:38:20	nan	nan	nan	98.4063	22.507	98.902	47.2106	0	0	23.2602	-16000	0	15.7535	 50
DATA	1668026302	62968969	427	256	""	2022-11-09	15:38:22	nan	nan	nan	98.4043	22.5307	98.9016	47.2113	0	0	23.2814	-16000	0	15.7622	110
DATA	1668026302	812673091	430	256	""	2022-11-09	15:38:22	nan	nan	nan	98.4055	22.5546	98.902	47.2113	0	0	23.3017	-16000	0	15.752	 34
DATA	1668026304	62673091	435	256	""	2022-11-09	15:38:24	nan	nan	nan	98.4059	22.5788	98.9008	47.2121	0	0	23.3222	-16000	0	15.7594	114
DATA	1668026305	62673091	439	256	""	2022-11-09	15:38:25	nan	nan	nan	98.4059	22.6023	98.9033	47.2121	0	0	23.3424	-16000	0	15.7508	100
DATA	1668026305	812673091	442	256	""	2022-11-09	15:38:25	nan	nan	nan	98.4059	22.6238	98.9016	47.2128	0	0	23.3612	-16000	0	15.7535	160
DATA	1668026307	62673091	447	256	""	2022-11-09	15:38:27	nan	nan	nan	98.4051	22.6473	98.9016	47.213	0	0	23.3816	-16000	0	15.759	 15
DATA	1668026308	62673091	451	256	""	2022-11-09	15:38:28	nan	nan	nan	98.4055	22.6704	98.9012	47.2136	0	0	23.4021	-16000	0	15.7535	 99
DATA	1668026308	812673091	454	256	""	2022-11-09	15:38:28	nan	nan	nan	98.4055	22.6936	98.9004	47.2137	0	0	23.4223	-16000	0	15.7516	165
DATA	1668026310	62673091	459	256	""	2022-11-09	15:38:30	nan	nan	nan	98.4038	22.7165	98.9008	47.2143	0	0	23.4427	-16000	0	15.7586	115
DATA	1668026311	62357902	463	256	""	2022-11-09	15:38:31	nan	nan	nan	98.4038	22.74	98.8996	47.2145	0	0	23.4639	-16000	0	15.7535	 24
DATA	1668026312	62357902	467	256	""	2022-11-09	15:38:32	nan	nan	nan	98.4043	22.763	98.9004	47.215	0	0	23.4839	-16000	0	15.7524	  8
DATA	1668026313	62357902	471	256	""	2022-11-09	15:38:33	nan	nan	nan	98.4047	22.7859	98.9	47.2154	0	0	23.5044	-16000	0	15.7512	216
DATA	1668026314	62357902	475	256	""	2022-11-09	15:38:34	nan	nan	nan	98.403	22.8077	98.8984	47.2158	0	0	23.5239	-16000	0	15.7488	 89
DATA	1668026315	62357902	479	256	""	2022-11-09	15:38:35	nan	nan	nan	98.4026	22.8294	98.8975	47.2163	0	0	23.543	-16000	0	15.7469	 89
DATA	1668026316	62357902	483	256	""	2022-11-09	15:38:36	nan	nan	nan	98.4034	22.852	98.8971	47.2165	0	0	23.5635	-16000	0	15.7461	 74
DATA	1668026317	62357902	487	256	""	2022-11-09	15:38:37	nan	nan	nan	98.403	22.8744	98.8979	47.2172	0	0	23.5838	-16000	0	15.7453	 96
