Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-11-11 09:44:13
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668177853	128424882	11	256	2022-11-11	09:44:13	nan	nan	nan	93.0123	18.7993	92.5753	24.3419	0	0	18.816	-4000	0	16.4746	194
DATA	1668177854	128391981	15	256	2022-11-11	09:44:14	nan	nan	nan	93.3698	18.7995	93.0287	26.1634	0	0	18.8162	-16000	0	16.4185	 64
DATA	1668177855	128353118	19	256	2022-11-11	09:44:15	nan	nan	nan	94.2722	18.8	93.9373	32.8392	0	0	18.8162	-16000	0	16.4229	147
DATA	1668177856	128317117	23	256	2022-11-11	09:44:16	nan	nan	nan	95.1006	18.8	94.753	38.4705	0	0	18.8164	-16000	0	16.4291	 85
DATA	1668177857	128268003	27	256	2022-11-11	09:44:17	nan	nan	nan	95.8909	18.8	95.5297	42.3037	0	0	18.8169	-16000	0	16.4338	165
DATA	1668177858	128232955	31	256	2022-11-11	09:44:18	nan	nan	nan	96.562	18.8	96.1788	42.8948	0	0	18.8169	-16000	0	16.4354	125
DATA	1668177859	128210067	35	256	2022-11-11	09:44:19	nan	nan	nan	96.9674	18.8	96.5387	43.0233	0	0	18.8169	-16000	0	16.4378	167
DATA	1668177860	128210067	39	256	2022-11-11	09:44:20	nan	nan	nan	97.017	18.8	96.5645	43.0847	0	0	18.8169	-16000	0	16.4378	 98
DATA	1668177861	128210067	43	256	2022-11-11	09:44:21	nan	nan	nan	97.0182	18.8	96.5653	43.122	0	0	18.8175	-16000	0	16.0666	 76
DATA	1668177862	128210067	47	256	2022-11-11	09:44:22	nan	nan	nan	97.019	18.8013	96.5661	43.1461	0	0	18.8182	-16000	0	15.9124	230
DATA	1668177863	128210067	51	256	2022-11-11	09:44:23	nan	nan	nan	97.0194	18.8042	96.5653	43.163	0	0	18.8223	-16000	0	15.9042	227
DATA	1668177864	128210067	55	256	2022-11-11	09:44:24	nan	nan	nan	97.0194	18.8107	96.5657	43.1752	0	0	18.8307	-16000	0	15.8991	 51
DATA	1668177865	128210067	59	256	2022-11-11	09:44:25	nan	nan	nan	97.019	18.8214	96.5653	43.1834	0	0	18.8438	-16000	0	15.8952	  3
DATA	1668177866	128210067	63	256	2022-11-11	09:44:26	nan	nan	nan	97.0198	18.8348	96.5645	43.1896	0	0	18.8591	-16000	0	15.8916	 73
DATA	1668177867	127918004	67	256	2022-11-11	09:44:27	nan	nan	nan	97.0194	18.8513	96.5653	43.1939	0	0	18.8762	-16000	0	15.8881	 72
DATA	1668177868	127918004	71	256	2022-11-11	09:44:28	nan	nan	nan	97.0194	18.8684	96.5649	43.1962	0	0	18.8927	-16000	0	15.8846	 83
