Model:	LI-7810
SN:	TG10-01071
Software Version:	2.1.35
Timestamp:	2022-11-12 13:57:38
Timezone:	Canada/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668279458	881941080	28	256	""	2022-11-12	13:57:38	nan	nan	nan	74.3612	23.0759	74.8341	26.6513	0	0	23.1763	-12000	0	24.1138	108
DATA	1668279459	881896018	32	256	""	2022-11-12	13:57:39	nan	nan	nan	74.4946	23.0759	74.9716	36.5403	0	0	23.1773	-16000	0	24.1095	138
DATA	1668279460	881854057	36	256	""	2022-11-12	13:57:40	nan	nan	nan	74.6162	23.0759	75.0907	43.4198	0	0	23.1782	-16000	0	24.1103	107
DATA	1668279461	881814002	40	256	""	2022-11-12	13:57:41	nan	nan	nan	74.7313	23.0759	75.2062	46.674	0	0	23.1789	-16000	0	24.1154	 46
DATA	1668279462	881804943	44	256	""	2022-11-12	13:57:42	nan	nan	nan	74.8492	23.0759	75.3229	46.9705	0	0	23.1798	-16000	0	24.1178	138
DATA	1668279463	881804943	48	256	""	2022-11-12	13:57:43	nan	nan	nan	74.9634	23.0759	75.4379	47.0848	0	0	23.1803	-16000	0	24.1186	136
DATA	1668279464	881804943	52	256	""	2022-11-12	13:57:44	nan	nan	nan	75.0769	23.0759	75.5493	47.142	0	0	23.1805	-16000	0	24.1186	 73
DATA	1668279465	881804943	56	256	""	2022-11-12	13:57:45	nan	nan	nan	75.1886	23.0759	75.6619	47.1773	0	0	23.1806	-16000	0	24.1189	144
DATA	1668279466	881804943	60	256	""	2022-11-12	13:57:46	nan	nan	nan	75.2996	23.0759	75.7733	47.201	0	0	23.1811	-16000	0	24.1193	 70
DATA	1668279467	881804943	64	256	""	2022-11-12	13:57:47	nan	nan	nan	75.4102	23.0759	75.8831	47.2176	0	0	23.1811	-16000	0	24.1189	123
DATA	1668279468	881804943	68	256	""	2022-11-12	13:57:48	nan	nan	nan	75.5191	23.0759	75.9924	47.2294	0	0	23.1815	-16000	0	24.1193	142
DATA	1668279469	881496906	72	256	""	2022-11-12	13:57:49	nan	nan	nan	75.6191	23.0759	76.0932	47.2325	0	0	23.1818	-16000	0	24.1189	140
DATA	1668279470	881496906	76	256	""	2022-11-12	13:57:50	nan	nan	nan	75.7293	23.0759	76.2021	47.2318	0	0	23.182	-16000	0	24.1189	 70
DATA	1668279471	881496906	80	256	""	2022-11-12	13:57:51	nan	nan	nan	75.8374	23.0759	76.3103	47.231	0	0	23.1825	-16000	0	24.1189	 67
DATA	1668279472	881496906	84	256	""	2022-11-12	13:57:52	nan	nan	nan	75.9459	23.0759	76.4188	47.2305	0	0	23.1825	-16000	0	24.1189	144
DATA	1668279473	881496906	88	256	""	2022-11-12	13:57:53	nan	nan	nan	76.0544	23.0759	76.5277	47.2305	0	0	23.1829	-16000	0	24.1146	134
DATA	1668279474	881496906	92	256	""	2022-11-12	13:57:54	nan	nan	nan	76.1634	23.0759	76.6359	47.2297	0	0	23.1832	-16000	0	24.1138	139
DATA	1668279475	881496906	96	256	""	2022-11-12	13:57:55	nan	nan	nan	76.2715	23.0759	76.7432	47.2297	0	0	23.1832	-16000	0	24.1135	136
DATA	1668279476	881496906	100	256	""	2022-11-12	13:57:56	nan	nan	nan	76.3788	23.0759	76.8521	47.2297	0	0	23.1832	-16000	0	24.1146	185
DATA	1668279477	881207942	104	256	""	2022-11-12	13:57:57	nan	nan	nan	76.4788	23.0759	76.9525	47.2297	0	0	23.1839	-16000	0	24.1146	194
DATA	1668279478	881207942	108	256	""	2022-11-12	13:57:58	nan	nan	nan	76.5877	23.0759	77.061	47.2297	0	0	23.1839	-16000	0	24.1135	137
DATA	1668279479	881207942	112	256	""	2022-11-12	13:57:59	nan	nan	nan	76.6962	23.0759	77.1687	47.2297	0	0	23.1839	-16000	0	24.1138	196
DATA	1668279480	881207942	116	256	""	2022-11-12	13:58:00	nan	nan	nan	76.8044	23.0759	77.2785	47.2297	0	0	23.1841	-16000	0	24.115	111
DATA	1668279481	881207942	120	256	""	2022-11-12	13:58:01	nan	nan	nan	76.9149	23.0759	77.3886	47.2297	0	0	23.1846	-16000	0	24.1154	175
DATA	1668279482	881207942	124	256	""	2022-11-12	13:58:02	nan	nan	nan	77.0243	23.0759	77.498	47.2297	0	0	23.1846	-16000	0	24.1146	117
DATA	1668279483	881207942	128	256	""	2022-11-12	13:58:03	nan	nan	nan	77.1332	23.0759	77.6061	47.2296	0	0	23.1846	-16000	0	24.1142	158
DATA	1668279484	880892038	132	256	""	2022-11-12	13:58:04	nan	nan	nan	77.2426	23.0759	77.7154	47.2296	0	0	23.1846	-16000	0	24.1178	178
DATA	1668279485	880892038	136	256	""	2022-11-12	13:58:05	nan	nan	nan	77.3535	23.0759	77.8268	47.2296	0	0	23.1851	-16000	0	24.1178	189
DATA	1668279486	880892038	140	256	""	2022-11-12	13:58:06	nan	nan	nan	77.4539	23.0759	77.9272	47.2294	0	0	23.1853	-16000	0	24.1193	184
DATA	1668279487	880892038	144	256	""	2022-11-12	13:58:07	nan	nan	nan	77.5633	23.0759	78.0386	47.2294	0	0	23.1853	-16000	0	24.1186	186
DATA	1668279488	880892038	148	256	""	2022-11-12	13:58:08	nan	nan	nan	77.6738	23.0759	78.1491	47.229	0	0	23.1853	-16000	0	24.1186	145
